Wahlbezirksnummer;Name;Wahlkreisnummer
197;Suhl – Schmalkalden-Meiningen – Hildburghausen;197
198;Neuwied;198
199;Ahrweiler;199
200;Koblenz;200
201;Mosel/Rhein-Hunsrück;201
202;Kreuznach;202
203;Bitburg;203
204;Trier;204
205;Montabaur;205
206;Mainz;206
207;Worms;207
208;Ludwigshafen/Frankenthal;208
209;Neustadt – Speyer;209
210;Kaiserslautern;210
211;Pirmasens;211
212;Südpfalz;212
213;Altötting;213
214;Erding – Ebersberg;214
215;Freising;215
216;Fürstenfeldbruck;216
217;Ingolstadt;217
218;München-Nord;218
219;München-Ost;219
220;München-Süd;220
221;München-West/Mitte;221
222;München-Land;222
223;Rosenheim;223
224;Starnberg;224
225;Traunstein;225
226;Weilheim;226
227;Deggendorf;227
228;Landshut;228
229;Passau;229
230;Rottal-Inn;230
231;Straubing;231
232;Amberg;232
233;Regensburg;233
234;Schwandorf;234
235;Weiden;235
236;Bamberg;236
237;Bayreuth;237
238;Coburg;238
239;Hof;239
240;Kulmbach;240
241;Ansbach;241
242;Erlangen;242
243;Fürth;243
244;Nürnberg-Nord;244
245;Nürnberg-Süd;245
246;Roth;246
247;Aschaffenburg;247
248;Bad Kissingen;248
249;Main-Spessart;249
250;Schweinfurt;250
251;Würzburg;251
252;Augsburg-Stadt;252
253;Augsburg-Land;253
254;Donau-Ries;254
255;Neu-Ulm;255
256;Oberallgäu;256
257;Ostallgäu;257
258;Stuttgart I;258
259;Stuttgart II;259
260;Böblingen;260
261;Esslingen;261
262;Nürtingen;262
263;Göppingen;263
264;Waiblingen;264
265;Ludwigsburg;265
266;Neckar-Zaber;266
267;Heilbronn;267
268;Schwäbisch Hall – Hohenlohe;268
269;Backnang – Schwäbisch Gmünd;269
270;Aalen – Heidenheim;270
271;Karlsruhe-Stadt;271
272;Karlsruhe-Land;272
273;Rastatt;273
274;Heidelberg;274
275;Mannheim;275
276;Odenwald – Tauber;276
277;Rhein-Neckar;277
278;Bruchsal – Schwetzingen;278
279;Pforzheim;279
280;Calw;280
281;Freiburg;281
282;Lörrach – Müllheim;282
283;Emmendingen – Lahr;283
284;Offenburg;284
285;Rottweil – Tuttlingen;285
286;Schwarzwald-Baar;286
287;Konstanz;287
288;Waldshut;288
289;Reutlingen;289
290;Tübingen;290
291;Ulm;291
292;Biberach;292
293;Bodensee;293
294;Ravensburg;294
295;Zollernalb – Sigmaringen;295
296;Saarbrücken;296
297;Saarlouis;297
298;St. Wendel;298
299;Homburg;299
