"Legislaturperiode";"Patei";"Wahlkreis";"Stimmen";"Stimmenprozent"
16;"CDU";21;40058;27.4
16;"GRÜNE";21;26223;18.0
16;"FDP";21;13841;9.5
16;"DIE LINKE";21;8977;6.1
16;"NPD";21;910;0.6
16;"Die Tierschutzpartei";21;936;0.6
16;"MLPD";21;54;0.0
16;"SPD";22;58596;35.1
16;"CDU";22;53812;32.2
16;"GRÜNE";22;26143;15.7
16;"FDP";22;18089;10.8
16;"DIE LINKE";22;7951;4.8
16;"NPD";22;979;0.6
16;"Die Tierschutzpartei";22;945;0.6
16;"MLPD";22;46;0.0
16;"SPD";23;65105;40.4
16;"CDU";23;49305;30.6
16;"GRÜNE";23;18519;11.5
16;"FDP";23;14572;9.0
16;"DIE LINKE";23;9827;6.1
16;"NPD";23;2171;1.3
16;"Die Tierschutzpartei";23;1350;0.8
16;"MLPD";23;53;0.0
16;"SPD";24;65184;41.6
16;"CDU";24;48559;31.0
16;"GRÜNE";24;16776;10.7
16;"FDP";24;12100;7.7
16;"DIE LINKE";24;9827;6.3
16;"NPD";24;2251;1.4
16;"Die Tierschutzpartei";24;1240;0.8
16;"MLPD";24;85;0.1
16;"SPD";25;79448;55.9
16;"CDU";25;35368;24.9
16;"FDP";25;8800;6.2
16;"GRÜNE";25;8868;6.2
16;"DIE LINKE";25;6357;4.5
16;"NPD";25;1606;1.1
16;"Die Tierschutzpartei";25;815;0.6
16;"PBC";25;270;0.2
16;"BüSo";25;62;0.0
16;"MLPD";25;80;0.1
16;"SPD";26;72167;41.1
16;"CDU";26;71136;40.5
16;"FDP";26;13634;7.8
16;"GRÜNE";26;7242;4.1
16;"DIE LINKE";26;7137;4.1
16;"NPD";26;1915;1.1
16;"Die Tierschutzpartei";26;893;0.5
16;"PBC";26;724;0.4
16;"BüSo";26;59;0.0
16;"MLPD";26;33;0.0
16;"SPD";27;67133;46.6
16;"CDU";27;43900;30.5
16;"FDP";27;12846;8.9
16;"GRÜNE";27;8409;5.8
16;"DIE LINKE";27;6962;4.8
16;"NPD";27;2146;1.5
16;"Die Tierschutzpartei";27;1052;0.7
16;"PBC";27;160;0.1
16;"BüSo";27;92;0.1
16;"MLPD";27;163;0.1
16;"SPD";28;72316;44.0
16;"CDU";28;46510;28.3
16;"FDP";28;15308;9.3
16;"GRÜNE";28;18185;11.1
