"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;2585;"GRÜNE";98;15389;9.34
17;446;"DIE LINKE";98;10523;6.38
17;1995;"NPD";98;1765;1.07
17;727;"Volksabstimmung";98;1581;0.96
17;3205;;98;319;0.19
17;2016;"SPD";99;39489;24.72
17;2540;"CDU";99;80363;50.3
17;1514;"FDP";99;16012;10.02
17;1677;"GRÜNE";99;14046;8.79
17;1207;"DIE LINKE";99;7430;4.65
17;345;"NPD";99;1443;0.9
17;1134;"Volksabstimmung";99;969;0.61
17;617;"SPD";100;41165;27.77
17;730;"CDU";100;71759;48.41
17;2345;"FDP";100;12990;8.76
17;2757;"GRÜNE";100;10066;6.79
17;1224;"DIE LINKE";100;9599;6.48
17;1626;"NPD";100;1734;1.17
17;3015;"ödp";100;458;0.31
17;908;;100;449;0.3
17;2388;"SPD";101;43992;26.65
17;281;"CDU";101;82523;49.99
17;1822;"FDP";101;14198;8.6
17;3486;"GRÜNE";101;13745;8.33
17;1163;"DIE LINKE";101;8561;5.19
17;620;"NPD";101;1643;1
17;3332;;101;409;0.25
17;1752;"SPD";102;53517;37.06
17;2356;"CDU";102;51242;35.48
17;3242;"FDP";102;11332;7.85
17;1430;"GRÜNE";102;13386;9.27
17;1820;"DIE LINKE";102;11723;8.12
17;1450;"NPD";102;2364;1.64
17;1139;"MLPD";102;323;0.22
17;492;;102;529;0.37
17;3549;"SPD";103;51180;35.79
17;1186;"CDU";103;49021;34.28
17;3192;"FDP";103;11852;8.29
17;2248;"GRÜNE";103;13308;9.31
17;2612;"DIE LINKE";103;15003;10.49
17;2784;"NPD";103;2337;1.63
17;259;"MLPD";103;287;0.2
17;1661;"SPD";104;54910;34.31
17;1039;"CDU";104;62365;38.97
17;2690;"FDP";104;13940;8.71
17;2680;"GRÜNE";104;12956;8.1
17;1182;"DIE LINKE";104;13418;8.38
17;1044;"NPD";104;2446;1.53
17;3039;"SPD";105;50319;33.77
17;2203;"CDU";105;66300;44.49
17;2590;"FDP";105;11674;7.83
17;1505;"GRÜNE";105;10611;7.12
17;3342;"DIE LINKE";105;8412;5.65
17;3519;"NPD";105;1690;1.13
17;937;"SPD";106;43173;35.64
17;207;"CDU";106;48276;39.85
17;3340;"FDP";106;11332;9.35
17;938;"GRÜNE";106;8447;6.97
17;154;"DIE LINKE";106;8418;6.95
17;277;"NPD";106;1503;1.24
17;2120;"SPD";107;45125;28.56
17;1310;"CDU";107;68749;43.51
17;2323;"FDP";107;16472;10.42
17;2169;"GRÜNE";107;15894;10.06
17;276;"DIE LINKE";107;10266;6.5
17;316;"NPD";107;1304;0.83
17;2132;"MLPD";107;204;0.13
17;1583;"SPD";108;44295;33.27
17;2313;"CDU";108;50233;37.73
17;503;"FDP";108;10758;8.08
17;51;"GRÜNE";108;13137;9.87
17;3291;"DIE LINKE";108;12948;9.73
17;367;"NPD";108;1560;1.17
17;565;"MLPD";108;202;0.15
17;642;"SPD";109;43614;29.47
17;942;"CDU";109;70787;47.84
17;509;"FDP";109;12763;8.63
17;1569;"GRÜNE";109;9935;6.71
17;3395;"DIE LINKE";109;8709;5.89
17;2630;"NPD";109;2168;1.47
17;1632;"SPD";110;33852;27.65
17;1634;"CDU";110;55784;45.57
17;3066;"FDP";110;11573;9.45
17;324;"GRÜNE";110;10162;8.3
17;416;"DIE LINKE";110;9233;7.54
17;758;"NPD";110;1569;1.28
17;472;;110;243;0.2
17;2660;"SPD";111;43087;29.11
17;1164;"CDU";111;62639;42.31
17;763;"FDP";111;18168;12.27
17;1939;"GRÜNE";111;12043;8.14
17;368;"DIE LINKE";111;8641;5.84
17;1307;"NPD";111;1358;0.92
17;1549;"FAMILIE";111;2100;1.42
17;2686;"SPD";112;41691;25.68
17;2874;"CDU";112;79359;48.87
17;1502;"FDP";112;15755;9.7
17;87;"GRÜNE";112;12633;7.78
17;2322;"DIE LINKE";112;11102;6.84
17;1630;"NPD";112;1836;1.13
17;1123;"SPD";113;46290;29.61
17;2336;"CDU";113;76480;48.92
17;768;"FDP";113;14620;9.35
17;1328;"GRÜNE";113;10148;6.49
17;902;"DIE LINKE";113;8787;5.62
17;1644;"SPD";114;57225;38.27
17;3374;"CDU";114;57576;38.51
17;1110;"FDP";114;10624;7.11
17;2094;"GRÜNE";114;9873;6.6
17;2919;"DIE LINKE";114;11071;7.4
17;1649;"NPD";114;1569;1.05
17;411;"FAMILIE";114;1583;1.06
17;585;"SPD";115;50636;39.58
17;2409;"CDU";115;44906;35.1
17;3146;"FDP";115;11098;8.68
17;2656;"GRÜNE";115;9462;7.4
17;1489;"DIE LINKE";115;10123;7.91
17;1030;"NPD";115;1425;1.11
17;3313;"MLPD";115;270;0.21
17;114;"SPD";116;53363;42.19
17;1907;"CDU";116;40001;31.62
17;24;"FDP";116;7501;5.93
17;2177;"GRÜNE";116;9791;7.74
17;2143;"DIE LINKE";116;13237;10.46
17;3156;"NPD";116;2191;1.73
17;3482;;116;405;0.32
17;2312;"SPD";117;44436;47.35
17;2088;"CDU";117;24779;26.4
17;3494;"FDP";117;5189;5.53
17;2772;"GRÜNE";117;5430;5.79
17;66;"DIE LINKE";117;10519;11.21
17;3157;"NPD";117;2953;3.15
17;251;"MLPD";117;275;0.29
17;2763;;117;264;0.28
17;947;"SPD";118;65189;44.61
17;529;"CDU";118;40001;27.37
17;2631;"FDP";118;9231;6.32
17;1200;"GRÜNE";118;14772;10.11
17;2093;"DIE LINKE";118;14008;9.59
17;555;"NPD";118;2643;1.81
17;2033;"MLPD";118;282;0.19
17;2625;"SPD";119;57547;41.42
17;2724;"CDU";119;44653;32.14
17;724;"FDP";119;11852;8.53
17;857;"GRÜNE";119;10801;7.77
17;644;"DIE LINKE";119;12143;8.74
17;1027;"NPD";119;1940;1.4
17;1122;"SPD";120;49023;46.07
17;570;"CDU";120;28968;27.22
17;716;"FDP";120;6967;6.55
17;1080;"GRÜNE";120;7352;6.91
17;3532;"DIE LINKE";120;11065;10.4
17;311;"NPD";120;2218;2.08
17;537;"MLPD";120;240;0.23
17;1643;"BüSo";120;583;0.55
17;1187;"SPD";121;57055;38.63
17;1068;"CDU";121;53269;36.07
17;1144;"FDP";121;11035;7.47
17;834;"GRÜNE";121;13969;9.46
17;3127;"DIE LINKE";121;10240;6.93
17;2762;"NPD";121;1614;1.09
17;1609;"BüSo";121;508;0.34
17;2883;"SPD";122;52627;43.07
17;2057;"CDU";122;37504;30.69
17;2361;"FDP";122;9090;7.44
17;2783;"GRÜNE";122;7846;6.42
17;391;"DIE LINKE";122;12781;10.46
17;2455;"NPD";122;2078;1.7
17;2696;;122;264;0.22
17;948;"SPD";123;58984;42.57
17;3188;"CDU";123;44021;31.77
17;2090;"FDP";123;10678;7.71
17;2794;"GRÜNE";123;8603;6.21
17;1266;"DIE LINKE";123;13805;9.96
17;1406;"NPD";123;2269;1.64
17;2707;"MLPD";123;191;0.14
17;2358;"SPD";124;64623;54.3
17;1982;"CDU";124;31011;26.06
17;396;"FDP";124;8344;7.01
17;3546;"GRÜNE";124;9013;7.57
17;2017;"NPD";124;4199;3.53
17;613;"MLPD";124;1831;1.54
17;52;"SPD";125;42736;30.16
17;2982;"CDU";125;63123;44.55
17;253;"FDP";125;17533;12.37
17;602;"GRÜNE";125;8774;6.19
17;1298;"DIE LINKE";125;8306;5.86
17;2337;"NPD";125;1226;0.87
17;843;"SPD";126;62810;42.81
17;3269;"CDU";126;48290;32.91
17;1803;"FDP";126;9710;6.62
17;2463;"GRÜNE";126;8372;5.71
17;241;"DIE LINKE";126;13765;9.38
17;3190;"NPD";126;2391;1.63
17;310;"MLPD";126;243;0.17
17;1636;"ödp";126;1138;0.78
17;2375;"SPD";127;37324;25.52
17;2534;"CDU";127;79254;54.2
17;2342;"FDP";127;12521;8.56
17;56;"GRÜNE";127;9706;6.64
17;2424;"DIE LINKE";127;6385;4.37
17;1913;"NPD";127;1044;0.71
17;2884;"SPD";128;37851;26.1
17;2689;"CDU";128;73636;50.78
17;655;"FDP";128;14229;9.81
17;186;"GRÜNE";128;10674;7.36
17;2281;"DIE LINKE";128;7634;5.26
17;2542;"NPD";128;973;0.67
17;1120;"SPD";129;58679;41.34
17;1312;"CDU";129;61444;43.29
17;1492;"FDP";129;11613;8.18
17;3260;"DIE LINKE";129;9075;6.39
17;2338;"NPD";129;1129;0.8
17;3079;"SPD";130;53029;32.62
17;2344;"CDU";130;63819;39.26
17;86;"FDP";130;16131;9.92
17;1476;"GRÜNE";130;20822;12.81
17;3516;"DIE LINKE";130;7805;4.8
17;534;"NPD";130;718;0.44
17;2915;;130;235;0.14
17;451;"SPD";131;49996;32.57
17;2936;"CDU";131;75187;48.98
17;3496;"FDP";131;16333;10.64
17;1316;"DIE LINKE";131;12005;7.82
17;298;"SPD";132;53509;32.29
17;330;"CDU";132;74149;44.75
17;1390;"FDP";132;15138;9.14
17;1933;"GRÜNE";132;11924;7.2
17;3405;"DIE LINKE";132;9909;5.98
17;2157;"ödp";132;625;0.38
17;521;;132;455;0.27
17;2768;"SPD";133;61405;34.48
17;3097;"CDU";133;64621;36.28
17;3065;"FDP";133;10852;6.09
17;1061;"GRÜNE";133;24981;14.03
17;2899;"DIE LINKE";133;14056;7.89
17;2432;"NPD";133;1784;1
17;852;"BüSo";133;394;0.22
17;2888;"SPD";134;62644;38.52
17;2596;"CDU";134;61244;37.66
17;2640;"FDP";134;15549;9.56
17;2274;"GRÜNE";134;11091;6.82
17;1197;"DIE LINKE";134;12090;7.43
17;2359;"SPD";135;57561;39.59
17;1391;"CDU";135;61751;42.47
17;592;"FDP";135;9628;6.62
17;1708;"GRÜNE";135;7636;5.25
17;1356;"DIE LINKE";135;8809;6.06
17;143;"SPD";136;50688;40.25
17;400;"CDU";136;46447;36.88
17;1573;"FDP";136;11879;9.43
17;1522;"GRÜNE";136;8431;6.69
17;1884;"DIE LINKE";136;8492;6.74
17;255;"SPD";137;49149;31.58
17;1150;"CDU";137;71813;46.14
17;3432;"FDP";137;12086;7.76
17;662;"GRÜNE";137;9957;6.4
17;1897;"DIE LINKE";137;9100;5.85
17;142;"NPD";137;1502;0.96
17;680;"FAMILIE";137;1586;1.02
17;3311;"ödp";137;455;0.29
17;179;"SPD";138;43120;25.31
17;1832;"CDU";138;88754;52.1
17;1464;"FDP";138;15282;8.97
17;2885;"GRÜNE";138;12001;7.04
17;3100;"DIE LINKE";138;9436;5.54
17;2331;"NPD";138;1757;1.03
17;2537;"SPD";139;63980;42.99
17;1512;"CDU";139;49893;33.52
17;1116;"FDP";139;11251;7.56
17;1031;"GRÜNE";139;8836;5.94
17;2787;"DIE LINKE";139;12188;8.19
17;430;"NPD";139;2679;1.8
17;1274;"SPD";140;54845;40.89
17;307;"CDU";140;40763;30.39
17;2693;"FDP";140;13392;9.98
17;449;"GRÜNE";140;11621;8.66
17;2267;"DIE LINKE";140;11180;8.34
17;2852;"NPD";140;1762;1.31
17;784;"MLPD";140;285;0.21
17;1213;;140;285;0.21
17;2634;"SPD";141;65810;43.31
17;1716;"CDU";141;47030;30.95
17;2935;"FDP";141;8578;5.65
17;2733;"GRÜNE";141;12775;8.41
17;445;"DIE LINKE";141;14741;9.7
17;432;"NPD";141;2268;1.49
17;813;"MLPD";141;259;0.17
17;1193;"BüSo";141;486;0.32
17;271;"SPD";142;64331;51.27
17;706;"CDU";142;33693;26.85
17;797;"FDP";142;8545;6.81
17;1199;"GRÜNE";142;12393;9.88
17;2869;"NPD";142;2570;2.05
17;234;"REP";142;2768;2.21
17;3369;"MLPD";142;1175;0.94
17;371;"SPD";143;60839;41.17
17;1392;"CDU";143;40623;27.49
17;1410;"FDP";143;12890;8.72
17;1691;"GRÜNE";143;16141;10.92
17;596;"DIE LINKE";143;14273;9.66
17;3161;"NPD";143;2281;1.54
17;2309;"MLPD";143;288;0.19
17;658;"BüSo";143;440;0.3
17;381;"SPD";144;59141;42.38
17;782;"CDU";144;40622;29.11
17;2364;"FDP";144;9387;6.73
17;245;"GRÜNE";144;12292;8.81
17;1315;"DIE LINKE";144;14819;10.62
17;3289;"NPD";144;2379;1.7
17;90;;144;922;0.66
17;1360;"SPD";145;62638;42.57
17;1270;"CDU";145;47702;32.42
17;93;"FDP";145;9418;6.4
17;2244;"GRÜNE";145;12737;8.66
17;3390;"DIE LINKE";145;12451;8.46
17;3038;"NPD";145;2206;1.5
17;3427;"SPD";146;72446;43.88
17;2030;"CDU";146;54088;32.76
17;641;"FDP";146;14952;9.06
17;2086;"GRÜNE";146;8993;5.45
17;2939;"DIE LINKE";146;11638;7.05
17;3275;"NPD";146;2981;1.81
17;1117;"SPD";147;47583;29.18
17;2846;"CDU";147;74725;45.82
17;777;"FDP";147;15625;9.58
17;1177;"GRÜNE";147;11924;7.31
17;353;"DIE LINKE";147;11432;7.01
17;2527;"NPD";147;1800;1.1
17;2574;"SPD";148;40010;26.62
17;2940;"CDU";148;77687;51.68
17;581;"FDP";148;13753;9.15
17;1588;"GRÜNE";148;7966;5.3
17;2606;"DIE LINKE";148;9362;6.23
17;3344;"NPD";148;1537;1.02
17;305;"SPD";149;60500;39.13
17;1475;"CDU";149;64217;41.54
17;457;"FDP";149;15482;10.01
17;2845;"DIE LINKE";149;12009;7.77
17;732;"NPD";149;2399;1.55
17;434;"SPD";150;42273;28.34
17;1084;"CDU";150;70705;47.39
17;3253;"FDP";150;15568;10.44
17;2533;"GRÜNE";150;8476;5.68
17;698;"DIE LINKE";150;10100;6.77
17;993;"NPD";150;2064;1.38
17;756;"SPD";151;59521;40.99
17;3280;"CDU";151;52751;36.33
17;1615;"FDP";151;11740;8.09
17;2234;"GRÜNE";151;6207;4.27
17;2467;"DIE LINKE";151;10431;7.18
17;2365;"NPD";151;2331;1.61
17;2955;"Die Tierschutzpartei";151;2217;1.53
17;1566;"CDU";152;44147;40.94
17;1359;"SPD";152;15860;14.71
17;2355;"DIE LINKE";152;27760;25.74
17;1247;"FDP";152;10611;9.84
17;1160;"GRÜNE";152;4357;4.04
17;163;"NPD";152;5108;4.74
17;1664;"CDU";153;42704;33.33
17;1565;"SPD";153;24866;19.41
17;1202;"DIE LINKE";153;34015;26.55
17;3244;"FDP";153;11781;9.2
17;3093;"GRÜNE";153;8856;6.91
17;2386;"NPD";153;4202;3.28
17;212;"BüSo";153;1691;1.32
17;677;"CDU";154;41101;28.81
17;3183;"SPD";154;32841;23.02
17;2155;"DIE LINKE";154;36117;25.31
17;1305;"FDP";154;10505;7.36
17;1755;"GRÜNE";154;17345;12.16
17;2223;"NPD";154;3094;2.17
17;3400;"BüSo";154;1674;1.17
17;1721;"CDU";155;60969;41.73
17;3398;"SPD";155;23471;16.06
17;3212;"DIE LINKE";155;33044;22.62
17;3304;"FDP";155;14799;10.13
17;3489;"GRÜNE";155;6745;4.62
17;2119;"NPD";155;5988;4.1
17;3147;;155;1090;0.75
17;1917;"CDU";156;62290;45.2
17;2583;"SPD";156;17236;12.51
17;3150;"DIE LINKE";156;29423;21.35
17;2052;"FDP";156;12403;9
17;1589;"GRÜNE";156;8315;6.03
17;2815;"NPD";156;7050;5.12
17;1490;;156;1103;0.8
17;2043;"CDU";157;64325;42.3
17;1431;"SPD";157;16870;11.09
17;1754;"DIE LINKE";157;38241;25.15
17;486;"FDP";157;17755;11.68
17;2422;"GRÜNE";157;6505;4.28
17;637;"NPD";157;8363;5.5
17;1629;"CDU";158;62338;42.41
17;984;"SPD";158;17005;11.57
17;2929;"DIE LINKE";158;35786;24.35
17;600;"FDP";158;13935;9.48
17;2863;"GRÜNE";158;7381;5.02
17;1;"NPD";158;7842;5.34
17;1336;"BüSo";158;2700;1.84
17;290;"CDU";159;62530;45.06
17;3492;"SPD";159;16194;11.67
17;1507;"DIE LINKE";159;28233;20.35
17;2484;"FDP";159;15292;11.02
17;918;"GRÜNE";159;6378;4.6
17;2555;"NPD";159;7983;5.75
17;2859;"BüSo";159;2150;1.55
17;1707;"CDU";160;56749;36.56
17;3268;"SPD";160;25959;16.72
17;1447;"DIE LINKE";160;37180;23.95
17;1859;"FDP";160;14818;9.55
17;1149;"GRÜNE";160;13668;8.81
17;1751;"NPD";160;3851;2.48
17;1670;"BüSo";160;1575;1.01
17;1013;;160;612;0.39
17;2482;;160;801;0.52
17;3233;"CDU";161;55401;36.38
17;3252;"SPD";161;22268;14.62
17;3117;"DIE LINKE";161;29679;19.49
17;2095;"FDP";161;18204;11.95
17;1666;"GRÜNE";161;18871;12.39
17;129;"NPD";161;4389;2.88
17;1365;"BüSo";161;1597;1.05
17;2969;"MLPD";161;436;0.29
17;3380;;161;1436;0.94
17;164;"CDU";162;61579;43.55
17;2402;"SPD";162;20800;14.71
17;2743;"DIE LINKE";162;32744;23.16
17;494;"FDP";162;14032;9.92
17;872;"GRÜNE";162;5921;4.19
17;2162;"NPD";162;6320;4.47
17;1101;"CDU";163;45876;34.14
17;2111;"SPD";163;27060;20.14
17;1796;"DIE LINKE";163;37433;27.86
17;1334;"FDP";163;12106;9.01
17;3513;"GRÜNE";163;8109;6.03
17;2827;"NPD";163;3800;2.83
17;3323;"CDU";164;54065;41.23
17;3247;"SPD";164;19247;14.68
17;3504;"DIE LINKE";164;33133;25.27
17;678;"FDP";164;14092;10.75
17;287;"GRÜNE";164;5360;4.09
17;2543;"NPD";164;5229;3.99
17;125;"CDU";165;63211;40.32
17;3255;"SPD";165;17168;10.95
17;2825;"DIE LINKE";165;37166;23.71
17;1073;"FDP";165;23820;15.19
17;1366;"GRÜNE";165;5896;3.76
17;2256;"NPD";165;7930;5.06
17;2298;;165;1580;1.01
17;1885;"CDU";166;55605;38.82
17;3355;"SPD";166;20864;14.57
17;3542;"DIE LINKE";166;40265;28.11
17;1257;"FDP";166;13097;9.14
17;269;"GRÜNE";166;6491;4.53
17;839;"NPD";166;5394;3.77
17;554;"BüSo";166;995;0.69
17;1604;;166;520;0.36
17;1192;"CDU";167;55128;40.86
17;2887;"SPD";167;21393;15.86
17;2301;"DIE LINKE";167;33586;24.9
17;976;"FDP";167;12755;9.45
17;2324;"GRÜNE";167;5849;4.34
17;1633;"NPD";167;4908;3.64
17;1545;"PBC";167;1290;0.96
17;2019;"SPD";168;51737;37.76
17;3246;"CDU";168;48414;35.34
17;2604;"FDP";168;13180;9.62
17;2270;"GRÜNE";168;11209;8.18
17;25;"DIE LINKE";168;10400;7.59
17;860;"NPD";168;1756;1.28
17;1788;;168;311;0.23
17;905;"SPD";169;59621;38.03
17;832;"CDU";169;47643;30.39
17;562;"FDP";169;12188;7.77
17;1916;"GRÜNE";169;19246;12.28
17;533;"DIE LINKE";169;15453;9.86
17;2410;"NPD";169;1594;1.02
17;2021;"MLPD";169;319;0.2
17;2292;;169;715;0.46
17;2566;"SPD";170;53275;40.36
17;1085;"CDU";170;45711;34.63
17;671;"FDP";170;12290;9.31
17;2717;"GRÜNE";170;7530;5.7
17;3545;"DIE LINKE";170;11080;8.39
17;172;"NPD";170;2128;1.61
17;746;"SPD";171;56519;40.34
17;2945;"CDU";171;47053;33.59
17;3354;"FDP";171;13487;9.63
17;636;"GRÜNE";171;9370;6.69
17;2678;"DIE LINKE";171;11395;8.13
17;1544;"NPD";171;2275;1.62
17;112;"SPD";172;51712;38.91
17;1076;"CDU";172;47322;35.6
17;152;"FDP";172;10964;8.25
17;1506;"GRÜNE";172;10366;7.8
17;1551;"DIE LINKE";172;10857;8.17
17;1932;"NPD";172;1690;1.27
17;2729;"SPD";173;47897;33.07
17;2306;"CDU";173;60214;41.57
17;194;"FDP";173;12968;8.95
17;1188;"GRÜNE";173;11032;7.62
17;883;"DIE LINKE";173;9815;6.78
17;949;"NPD";173;2922;2.02
17;3238;"SPD";174;55331;34.19
17;309;"CDU";174;59441;36.73
17;2973;"FDP";174;17928;11.08
17;1535;"GRÜNE";174;14140;8.74
17;13;"DIE LINKE";174;11399;7.04
17;2602;"NPD";174;2328;1.44
17;1491;;174;1253;0.77
17;247;"SPD";175;41388;23.93
17;294;"CDU";175;86084;49.77
17;1496;"FDP";175;17415;10.07
17;3000;"GRÜNE";175;12556;7.26
17;1851;"DIE LINKE";175;11923;6.89
17;282;"NPD";175;3591;2.08
17;2627;"SPD";176;35257;25.41
17;1024;"CDU";176;62748;45.22
17;2591;"FDP";176;16255;11.71
17;495;"GRÜNE";176;12976;9.35
17;643;"DIE LINKE";176;7522;5.42
17;785;"NPD";176;1081;0.78
17;2211;"REP";176;862;0.62
17;3383;"Die Tierschutzpartei";176;2074;1.49
17;1069;"SPD";177;59420;33.07
17;2391;"CDU";177;73702;41.01
17;978;"FDP";177;16284;9.06
17;1561;"GRÜNE";177;12425;6.91
17;664;"DIE LINKE";177;11116;6.19
17;1704;"NPD";177;3792;2.11
17;2597;"Die Tierschutzpartei";177;2631;1.46
17;996;;177;328;0.18
17;2403;"SPD";178;45127;27.68
17;3446;"CDU";178;75224;46.13
17;2103;"FDP";178;17463;10.71
17;1836;"GRÜNE";178;13141;8.06
17;1501;"DIE LINKE";178;9066;5.56
17;3283;"NPD";178;1432;0.88
17;2237;"REP";178;1603;0.98
17;3424;"SPD";179;42751;32.62
17;1524;"CDU";179;53416;40.76
17;845;"FDP";179;12350;9.42
17;2830;"GRÜNE";179;10970;8.37
17;1354;"DIE LINKE";179;9016;6.88
17;1301;"NPD";179;1516;1.16
17;1042;"BüSo";179;588;0.45
17;2810;;179;444;0.34
17;2400;"SPD";180;59413;34.04
17;3137;"CDU";180;68704;39.36
17;359;"FDP";180;15523;8.89
17;286;"GRÜNE";180;11572;6.63
17;542;"DIE LINKE";180;11985;6.87
17;1504;"NPD";180;2289;1.31
17;734;"REP";180;1764;1.01
17;1937;"Die Tierschutzpartei";180;3287;1.88
17;2516;"SPD";181;36629;23.95
17;2504;"CDU";181;72680;47.53
17;3016;"FDP";181;18588;12.15
17;3089;"GRÜNE";181;15618;10.21
17;1251;"DIE LINKE";181;7718;5.05
17;904;"NPD";181;1694;1.11
17;32;"SPD";182;39147;30.06
17;3536;"CDU";182;45866;35.22
17;2252;"FDP";182;12876;9.89
17;682;"GRÜNE";182;15701;12.06
17;3431;"DIE LINKE";182;12031;9.24
17;3225;"NPD";182;1327;1.02
17;2250;"REP";182;862;0.66
17;2446;"Die Tierschutzpartei";182;1879;1.44
17;43;"BüSo";182;353;0.27
17;2128;"MLPD";182;170;0.13
17;2199;"SPD";183;45074;29.29
17;3036;"CDU";183;55027;35.76
17;2786;"FDP";183;14336;9.32
17;2209;"GRÜNE";183;23403;15.21
17;833;"DIE LINKE";183;11998;7.8
17;1620;"NPD";183;1546;1
17;2382;"Die Tierschutzpartei";183;2077;1.35
17;701;"BüSo";183;416;0.27
17;2448;"SPD";184;44973;35.97
17;1347;"CDU";184;45410;36.32
17;379;"FDP";184;10177;8.14
17;909;"GRÜNE";184;12072;9.66
17;1382;"DIE LINKE";184;9449;7.56
17;1302;"NPD";184;2457;1.97
17;19;;184;482;0.39
17;3514;"SPD";185;44542;28.76
17;3418;"CDU";185;62281;40.21
17;1738;"FDP";185;15843;10.23
17;844;"GRÜNE";185;15243;9.84
17;358;"DIE LINKE";185;11594;7.49
17;1946;"NPD";185;2434;1.57
17;2510;"Die Tierschutzpartei";185;2722;1.76
17;1395;;185;229;0.15
17;3556;"SPD";186;60581;35.02
17;3075;"CDU";186;60536;35
17;1137;"FDP";186;13553;7.84
17;3295;"GRÜNE";186;20963;12.12
17;395;"DIE LINKE";186;11213;6.48
17;497;"NPD";186;1860;1.08
17;1252;"PIRATEN";186;3866;2.24
17;321;"ADM";186;396;0.23
17;240;"SPD";187;50797;29.63
17;1834;"CDU";187;69191;40.36
17;1562;"FDP";187;18409;10.74
17;2441;"GRÜNE";187;16215;9.46
17;1774;"DIE LINKE";187;11574;6.75
17;1046;"NPD";187;2183;1.27
17;2334;"REP";187;1772;1.03
17;2867;;187;822;0.48
17;2012;;187;459;0.27
17;1714;"SPD";188;44903;30.93
17;1996;"CDU";188;64472;44.41
17;1603;"FDP";188;12966;8.93
17;842;"GRÜNE";188;11296;7.78
17;2948;"DIE LINKE";188;9171;6.32
17;3449;"NPD";188;2365;1.63
17;2907;"SPD";189;22854;16.96
17;2655;"DIE LINKE";189;33005;24.49
17;970;"CDU";189;57882;42.96
17;1465;"FDP";189;9942;7.38
17;1223;"GRÜNE";189;5540;4.11
17;1109;"NPD";189;3798;2.82
17;3261;"ödp";189;1416;1.05
17;1896;;189;309;0.23
17;1608;"SPD";190;29106;22.55
17;2107;"DIE LINKE";190;35666;27.63
17;1190;"CDU";190;44903;34.79
17;2572;"FDP";190;8211;6.36
17;1308;"GRÜNE";190;4921;3.81
17;3434;"NPD";190;4864;3.77
17;1856;;190;1075;0.83
17;960;;190;317;0.25
17;1780;"SPD";191;22819;18.1
17;2161;"DIE LINKE";191;39568;31.39
17;2934;"CDU";191;42674;33.85
17;1692;"FDP";191;9800;7.77
17;1887;"GRÜNE";191;5754;4.56
17;3336;"NPD";191;4855;3.85
17;2567;;191;595;0.47
17;1158;"SPD";192;37032;26.87
17;1189;"DIE LINKE";192;35942;26.08
17;2699;"CDU";192;40063;29.07
17;1564;"FDP";192;10056;7.3
17;886;"GRÜNE";192;7391;5.36
17;2444;"NPD";192;5475;3.97
17;2068;;192;672;0.49
17;208;;192;1176;0.85
17;2765;"SPD";193;33488;22.43
17;2992;"DIE LINKE";193;43050;28.84
17;3186;"CDU";193;45931;30.77
17;693;"FDP";193;8897;5.96
17;1746;"GRÜNE";193;12137;8.13
17;2906;"NPD";193;4151;2.78
17;699;;193;947;0.63
17;2871;;193;673;0.45
17;250;"SPD";194;34658;21.32
17;1787;"DIE LINKE";194;49344;30.36
17;2487;"CDU";194;46590;28.67
17;2529;"FDP";194;15695;9.66
17;2067;"GRÜNE";194;11471;7.06
17;2315;"NPD";194;4771;2.94
17;2366;"SPD";195;20224;17.58
17;3143;"DIE LINKE";195;33672;29.27
17;3256;"CDU";195;42988;37.37
17;742;"FDP";195;9237;8.03
17;2129;"GRÜNE";195;4196;3.65
17;2776;"NPD";195;4720;4.1
17;673;"SPD";196;27824;18.97
17;2773;"DIE LINKE";196;45820;31.24
17;3019;"CDU";196;46726;31.86
17;3338;"FDP";196;12534;8.55
17;1100;"GRÜNE";196;5684;3.88
17;3203;"NPD";196;6574;4.48
17;593;"MLPD";196;582;0.4
17;1617;;196;934;0.64
17;874;"SPD";197;27055;21.03
17;2287;"DIE LINKE";197;41361;32.15
17;1364;"CDU";197;39600;30.78
17;2436;"FDP";197;10313;8.02
17;1895;"GRÜNE";197;5936;4.61
17;1113;"NPD";197;4380;3.4
17;2578;"CDU";198;66214;39.2
17;83;"SPD";198;61544;36.43
17;1214;"FDP";198;17881;10.59
17;1826;"GRÜNE";198;9518;5.63
17;1393;"DIE LINKE";198;11331;6.71
17;210;"NPD";198;2438;1.44
17;1088;"CDU";199;62145;45.52
17;2156;"SPD";199;33987;24.89
17;3042;"FDP";199;20470;14.99
17;239;"GRÜNE";199;10094;7.39
17;3450;"DIE LINKE";199;8310;6.09
17;1499;"NPD";199;1527;1.12
17;793;"CDU";200;59853;44.12
17;2073;"SPD";200;38080;28.07
17;660;"FDP";200;13084;9.64
17;3453;"GRÜNE";200;13222;9.75
17;692;"DIE LINKE";200;9935;7.32
17;1838;"NPD";200;1483;1.09
17;237;"CDU";201;60105;47.72
17;1104;"SPD";201;29859;23.71
17;3443;"FDP";201;15714;12.48
17;3024;"GRÜNE";201;9724;7.72
17;1925;"DIE LINKE";201;9035;7.17
17;1606;"NPD";201;1521;1.21
17;1493;"CDU";202;61167;47
17;1546;"SPD";202;37332;28.69
17;1352;"FDP";202;8684;6.67
17;2253;"GRÜNE";202;8768;6.74
17;1619;"DIE LINKE";202;11579;8.9
17;482;"NPD";202;1798;1.38
