"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;2849;"DIE LINKE";23;14021;9.48
17;2618;"NPD";23;1972;1.33
17;2284;"ödp";23;1190;0.8
17;1494;"SPD";24;54965;39.05
17;2133;"CDU";24;46303;32.89
17;2617;"GRÜNE";24;11728;8.33
17;561;"FDP";24;10727;7.62
17;2519;"DIE LINKE";24;14430;10.25
17;3540;"NPD";24;2111;1.5
17;1288;"BüSo";24;500;0.36
17;556;"SPD";25;57876;44.37
17;1081;"CDU";25;33706;25.84
17;464;"FDP";25;9314;7.14
17;1245;"GRÜNE";25;14451;11.08
17;1089;"DIE LINKE";25;13213;10.13
17;3290;"NPD";25;1886;1.45
17;273;"SPD";26;47481;29.26
17;422;"CDU";26;73405;45.24
17;898;"FDP";26;15470;9.53
17;1783;"GRÜNE";26;11981;7.38
17;1355;"DIE LINKE";26;12062;7.43
17;3116;"NPD";26;1862;1.15
17;646;"SPD";27;51851;39.85
17;1386;"CDU";27;42211;32.44
17;2009;"FDP";27;12283;9.44
17;2972;"GRÜNE";27;9794;7.53
17;1446;"DIE LINKE";27;12055;9.27
17;1468;"NPD";27;1911;1.47
17;2144;"SPD";28;49020;31.33
17;1592;"CDU";28;55610;35.54
17;2425;"FDP";28;13840;8.85
17;1999;"GRÜNE";28;21651;13.84
17;913;"DIE LINKE";28;14080;9
17;2032;"NPD";28;1548;0.99
17;3511;"RRP";28;707;0.45
17;2240;"SPD";29;55374;34.69
17;957;"CDU";29;56273;35.26
17;349;"FDP";29;16163;10.13
17;1527;"GRÜNE";29;14446;9.05
17;169;"DIE LINKE";29;13751;8.62
17;426;"NPD";29;2346;1.47
17;1371;"RRP";29;1261;0.79
17;1665;"SPD";30;50481;37.69
17;690;"CDU";30;51654;38.57
17;631;"FDP";30;10426;7.79
17;9;"GRÜNE";30;8379;6.26
17;2823;"DIE LINKE";30;10307;7.7
17;3316;"NPD";30;1828;1.36
17;489;;30;847;0.63
17;3414;"SPD";31;46851;33.36
17;1639;"CDU";31;62035;44.18
17;3195;"FDP";31;9946;7.08
17;1591;"GRÜNE";31;9409;6.7
17;531;"DIE LINKE";31;9096;6.48
17;453;"NPD";31;2349;1.67
17;2416;"BüSo";31;307;0.22
17;2153;;31;431;0.31
17;3040;"SPD";32;43503;26
17;1674;"CDU";32;91378;54.62
17;340;"FDP";32;13278;7.94
17;798;"GRÜNE";32;9819;5.87
17;1675;"DIE LINKE";32;8195;4.9
17;1239;"NPD";32;1130;0.68
17;945;"SPD";33;28053;19.05
17;1238;"CDU";33;91686;62.28
17;769;"FDP";33;12700;8.63
17;511;"GRÜNE";33;6575;4.47
17;2647;"DIE LINKE";33;6927;4.7
17;2023;"NPD";33;1286;0.87
17;1605;"SPD";34;48313;34.46
17;1510;"CDU";34;52599;37.52
17;829;"FDP";34;15928;11.36
17;1128;"GRÜNE";34;11917;8.5
17;3237;"DIE LINKE";34;9775;6.97
17;2921;"NPD";34;1660;1.18
17;3106;"SPD";35;52397;36.58
17;1964;"CDU";35;53080;37.06
17;2652;"FDP";35;10787;7.53
17;992;"GRÜNE";35;12318;8.6
17;157;"DIE LINKE";35;12242;8.55
17;1131;"NPD";35;2417;1.69
17;1486;"SPD";36;42395;35.26
