"Legislaturperiode";"Wahlkreis";"Gültige Erststimmen";"Gültige Zweitstimmen";"Wähler";"Wahlberechtigte"
16;172;141200;141358;143978;183984
16;173;157128;157088;160766;212485
16;174;170393;170477;174567;225883
16;175;184205;181620;188829;238580
16;176;145749;146039;148635;181959
16;177;186677;186621;191145;242940
16;178;171615;172264;175769;220619
16;179;138222;138421;140838;186409
16;180;184110;184296;188752;239412
16;181;158365;158751;161332;193679
16;182;132804;133361;135863;183183
16;183;154263;154848;157455;203726
16;184;132596;132829;135836;169776
16;185;166315;166889;170268;220625
16;186;179247;179775;183416;229735
16;187;182814;183022;187764;234100
16;188;155146;155225;158094;199215
16;189;155222;155576;158345;208484
16;190;152160;152433;155366;206854
16;191;151421;151808;155082;207463
16;192;162232;162426;165851;218863
16;193;166051;166540;169272;223315
16;194;187224;187523;190472;248530
16;195;141163;141432;144322;190763
16;196;177472;177860;181086;239958
16;197;154913;155179;158033;213525
16;198;186945;186880;190310;242693
16;199;149034;149884;152517;193865
16;200;149440;149999;152025;196029
16;201;139544;140435;143887;180870
16;202;144211;144594;147733;191864
16;203;129195;129580;132623;169169
16;204;140156;140723;143881;185437
16;205;163946;164280;167673;212396
16;206;194791;195474;198652;244758
16;207;153800;154314;157641;198651
16;208;165868;166148;169870;216306
16;209;173397;173877;177506;219704
16;210;174775;175410;179680;234939
16;211;140891;141830;146241;187595
16;212;163869;163911;167742;209895
16;213;122921;123282;124868;166212
16;214;143933;144962;146284;179381
16;215;154766;155524;157045;197541
16;216;196353;197262;199138;242940
16;217;184793;184903;187323;245899
16;218;150717;150978;152262;202793
16;219;168298;169020;170380;219413
16;220;152666;153173;154386;200500
16;221;166997;167459;168905;217460
16;222;187273;187949;189295;226705
16;223;170534;171400;173077;222020
16;224;199664;200312;202092;247824
16;225;155091;155907;157644;202947
16;226;193033;193727;195607;244362
16;227;107467;107972;109196;154154
16;228;182675;184002;186087;242102
16;229;130300;130998;132420;184728
16;230;116295;117722;119605;161553
16;231;125289;125686;127264;172616
16;232;163457;163997;166438;213156
16;233;178124;178513;180592;236419
16;234;157731;158005;160516;215477
16;235;132396;132160;134636;172807
16;236;133433;134532;135999;173588
16;237;126489;127002;128398;165436
16;238;125688;126458;128079;164542
16;239;139160;139326;141563;186643
16;240;134967;135745;137658;173566
16;241;184343;185107;187535;242756
16;242;138407;138396;139877;172655
16;243;187739;188441;190859;245961
16;244;137984;138213;139713;183712
16;245;135288;135637;137634;183616
16;246;179610;180614;183237;223294
16;247;141096;141696;144283;182224
16;248;171852;172548;175290;220582
16;249;155250;155837;158422;197707
16;250;153451;153982;156430;198245
16;251;175783;176271;178409;222087
