"Legislaturperiode";"Bundesland";"Partei";"Erststimmen";"Erststimmen Prozent";"Zweitstimmen";"Zweitstimmen Prozent";"Direktmandate";"Überhangmandate";"Listenmandate"
16;"Rheinland-Pfalz";"CDU";1024834;0.0;877632;0.0;0;0;0
16;"Bremen";"SPD";184817;0.0;155366;0.0;0;0;0
16;"Mecklenburg-Vorpommern";"MLPD";1179;0.0;2949;0.0;0;0;0
17;"Baden-Württemberg";"Die Tierschutzpartei";0;0.0;37823;0.0;0;0;0
17;"Sachsen";"SPD";339102;0.0;328753;0.0;0;0;0
16;"Nordrhein-Westfalen";"REP";3020;0.0;35390;0.0;0;0;0
17;"Sachsen-Anhalt";"PIRATEN";0;0.0;28780;0.0;0;0;0
16;"Sachsen";"NPD";131718;0.0;126701;0.0;0;0;0
16;"Baden-Württemberg";"REP";0;0.0;64976;0.0;0;0;0
17;"Bayern";"RRP";22179;0.0;48458;0.0;0;0;0
17;"Brandenburg";"BüSo";0;0.0;2889;0.0;0;0;0
16;"Bayern";"GRÜNE";449976;0.0;559941;0.0;0;0;0
17;"Nordrhein-Westfalen";"SPD";3286593;0.0;2678956;0.0;0;0;0
17;"Bayern";"BüSo";5466;0.0;3305;0.0;0;0;0
16;"Schleswig-Holstein";"CDU";733004;0.0;624510;0.0;0;0;0
17;"Saarland";"NPD";8033;0.0;7399;0.0;0;0;0
17;"Bayern";"BP";32324;0.0;48311;0.0;0;0;0
16;"Hessen";"CM";1011;0.0;0;0.0;0;0;0
17;"Brandenburg";"FDP";99769;0.0;129642;0.0;0;0;0
17;"Thüringen";"CDU";407357;0.0;383778;0.0;0;0;0
16;"Saarland";"SPD";240439;0.0;211201;0.0;0;0;0
17;"Baden-Württemberg";"MLPD";3007;0.0;3640;0.0;0;0;0
17;"Hamburg";"SPD";296589;0.0;242942;0.0;0;0;0
16;"Niedersachsen";"CDU";1857583;0.0;1599947;0.0;0;0;0
17;"Nordrhein-Westfalen";"BüSo";2662;0.0;2396;0.0;0;0;0
17;"Hessen";"SPD";1026094;0.0;812721;0.0;0;0;0
16;"Bayern";"FAMILIE";9287;0.0;45396;0.0;0;0;0
16;"Hamburg";"NPD";10135;0.0;9463;0.0;0;0;0
16;"Berlin";"CDU";483014;0.0;408715;0.0;0;0;0
17;"Berlin";"DIE VIOLETTEN";875;0.0;5492;0.0;0;0;0
17;"Saarland";"MLPD";323;0.0;252;0.0;0;0;0
16;"Sachsen";"PBC";7434;0.0;16549;0.0;0;0;0
16;"Rheinland-Pfalz";"MLPD";437;0.0;1680;0.0;0;0;0
17;"Baden-Württemberg";"REP";3235;0.0;48693;0.0;0;0;0
17;"Bremen";"REP";0;0.0;577;0.0;0;0;0
16;"Nordrhein-Westfalen";"FDP";422724;0.0;1024924;0.0;0;0;0
17;"Berlin";"Die Tierschutzpartei";0;0.0;23528;0.0;0;0;0
17;"Hessen";"ADM";396;0.0;0;0.0;0;0;0
16;"Baden-Württemberg";"FDP";321612;0.0;693835;0.0;0;0;0
17;"Rheinland-Pfalz";"ödp";2384;0.0;6334;0.0;0;0;0
16;"Nordrhein-Westfalen";"BüSo";0;0.0;2607;0.0;0;0;0
17;"Brandenburg";"GRÜNE";76546;0.0;84567;0.0;0;0;0
17;"Niedersachsen";"CDU";1703363;0.0;1471530;0.0;0;0;0
17;"Schleswig-Holstein";"GRÜNE";161626;0.0;203782;0.0;0;0;0
16;"Sachsen-Anhalt";"MLPD";3697;0.0;5412;0.0;0;0;0
16;"Hamburg";"PBC";460;0.0;0;0.0;0;0;0
17;"Bayern";"NPD";111662;0.0;87591;0.0;0;0;0
16;"Hessen";"Die Tierschutzpartei";0;0.0;26786;0.0;0;0;0
17;"Niedersachsen";"DVU";0;0.0;4318;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"DIE LINKE";255411;0.0;251536;0.0;0;0;0
17;"Sachsen-Anhalt";"NPD";30183;0.0;26584;0.0;0;0;0
16;"Sachsen-Anhalt";"CDU";404318;0.0;357663;0.0;0;0;0
16;"Bayern";"REP";11985;0.0;73619;0.0;0;0;0
17;"Thüringen";"GRÜNE";63030;0.0;73838;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"NPD";29801;0.0;28223;0.0;0;0;0
17;"Niedersachsen";"GRÜNE";370188;0.0;475742;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"GRÜNE";46826;0.0;47841;0.0;0;0;0
16;"Thüringen";"NPD";57464;0.0;52988;0.0;0;0;0
17;"Schleswig-Holstein";"CDU";615798;0.0;518457;0.0;0;0;0
17;"Baden-Württemberg";"FDP";645560;0.0;1022958;0.0;0;0;0
16;"Schleswig-Holstein";"GRÜNE";73345;0.0;144712;0.0;0;0;0
17;"Bremen";"FDP";24437;0.0;35968;0.0;0;0;0
16;"Brandenburg";"FDP";66723;0.0;107736;0.0;0;0;0
16;"Hessen";"CDU";1338785;0.0;1131496;0.0;0;0;0
16;"Rheinland-Pfalz";"REP";11553;0.0;26340;0.0;0;0;0
17;"Schleswig-Holstein";"DVU";0;0.0;1807;0.0;0;0;0
17;"Hessen";"MLPD";489;0.0;1137;0.0;0;0;0
17;"Nordrhein-Westfalen";"RRP";0;0.0;12952;0.0;0;0;0
17;"Sachsen";"BüSo";12382;0.0;18789;0.0;0;0;0
16;"Nordrhein-Westfalen";"ZENTRUM";1297;0.0;4010;0.0;0;0;0
17;"Rheinland-Pfalz";"SPD";640617;0.0;520990;0.0;0;0;0
17;"Bayern";"PBC";921;0.0;9262;0.0;0;0;0
16;"Berlin";"PSG";0;0.0;1623;0.0;0;0;0
17;"Hamburg";"BüSo";651;0.0;0;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"MLPD";554;0.0;1730;0.0;0;0;0
17;"Niedersachsen";"BüSo";307;0.0;0;0.0;0;0;0
16;"Rheinland-Pfalz";"FAMILIE";0;0.0;25576;0.0;0;0;0
16;"Bremen";"GRÜNE";35147;0.0;51600;0.0;0;0;0
16;"Bayern";"FDP";353503;0.0;673817;0.0;0;0;0
16;"Bayern";"MLPD";218;0.0;3448;0.0;0;0;0
16;"Sachsen";"MLPD";644;0.0;3742;0.0;0;0;0
16;"Thüringen";"PBC";1085;0.0;0;0.0;0;0;0
16;"Schleswig-Holstein";"FAMILIE";12756;0.0;20259;0.0;0;0;0
17;"Thüringen";"REP";0;0.0;4339;0.0;0;0;0
16;"Mecklenburg-Vorpommern";"SPD";326130;0.0;314830;0.0;0;0;0
17;"Berlin";"DIE LINKE";355640;0.0;348661;0.0;0;0;0
17;"Berlin";"NPD";34488;0.0;27799;0.0;0;0;0
17;"Bremen";"MLPD";343;0.0;216;0.0;0;0;0
17;"Thüringen";"PIRATEN";0;0.0;31031;0.0;0;0;0
17;"Bremen";"PIRATEN";0;0.0;8174;0.0;0;0;0
17;"Brandenburg";"PIRATEN";0;0.0;34832;0.0;0;0;0
16;"Nordrhein-Westfalen";"DIE LINKE";425709;0.0;529967;0.0;0;0;0
16;"Berlin";"REP";4362;0.0;9947;0.0;0;0;0
17;"Saarland";"PIRATEN";0;0.0;8620;0.0;0;0;0
16;"Rheinland-Pfalz";"FDP";130808;0.0;278945;0.0;0;0;0
16;"Bremen";"NPD";5513;0.0;5341;0.0;0;0;0
16;"Sachsen";"CDU";940306;0.0;795316;0.0;0;0;0
16;"Thüringen";"GRÜNE";51835;0.0;69976;0.0;0;0;0
16;"Niedersachsen";"DIE LINKE";168205;0.0;205200;0.0;0;0;0
16;"Berlin";"DIE LINKE";321714;0.0;303630;0.0;0;0;0
17;"Sachsen";"NPD";91451;0.0;89611;0.0;0;0;0
17;"Thüringen";"MLPD";582;0.0;1991;0.0;0;0;0
17;"Saarland";"CDU";207864;0.0;179289;0.0;0;0;0
17;"Schleswig-Holstein";"RENTNER";0;0.0;16006;0.0;0;0;0
16;"Schleswig-Holstein";"FDP";65315;0.0;173320;0.0;0;0;0
16;"Hessen";"FAMILIE";1857;0.0;0;0.0;0;0;0
16;"Bremen";"MLPD";0;0.0;283;0.0;0;0;0
17;"Brandenburg";"Freie Union";915;0.0;0;0.0;0;0;0
16;"Schleswig-Holstein";"DIE LINKE";48634;0.0;78755;0.0;0;0;0
17;"Schleswig-Holstein";"ZENTRUM";369;0.0;0;0.0;0;0;0
17;"Brandenburg";"SPD";397016;0.0;348216;0.0;0;0;0
16;"Baden-Württemberg";"DIE LINKE";182288;0.0;219105;0.0;0;0;0
17;"Nordrhein-Westfalen";"NPD";112709;0.0;88690;0.0;0;0;0
16;"Hessen";"PSG";0;0.0;3346;0.0;0;0;0
17;"Brandenburg";"FWD";0;0.0;11243;0.0;0;0;0
17;"Baden-Württemberg";"PIRATEN";11400;0.0;112006;0.0;0;0;0
17;"Thüringen";"FDP";94685;0.0;120635;0.0;0;0;0
17;"Baden-Württemberg";"ödp";13187;0.0;24525;0.0;0;0;0
16;"Sachsen-Anhalt";"REP";0;0.0;4825;0.0;0;0;0
16;"Niedersachsen";"FDP";186474;0.0;426341;0.0;0;0;0
16;"Hamburg";"CDU";320444;0.0;272418;0.0;0;0;0
16;"Berlin";"FDP";70471;0.0;152157;0.0;0;0;0
16;"Saarland";"NPD";10920;0.0;11459;0.0;0;0;0
16;"Bremen";"PBC";0;0.0;1083;0.0;0;0;0
17;"Hamburg";"NPD";9181;0.0;7679;0.0;0;0;0
16;"Nordrhein-Westfalen";"SPD";4658692;0.0;4096112;0.0;0;0;0
17;"Rheinland-Pfalz";"BüSo";304;0.0;0;0.0;0;0;0
17;"Hessen";"NPD";44260;0.0;35929;0.0;0;0;0
17;"Hessen";"Die Tierschutzpartei";14670;0.0;31917;0.0;0;0;0
17;"Sachsen";"PBC";1290;0.0;0;0.0;0;0;0
16;"Baden-Württemberg";"SPD";2013195;0.0;1754834;0.0;0;0;0
17;"Bayern";"PIRATEN";24102;0.0;135790;0.0;0;0;0
16;"Hessen";"REP";1858;0.0;27926;0.0;0;0;0
17;"Berlin";"GRÜNE";298277;0.0;299535;0.0;0;0;0
16;"Thüringen";"FAMILIE";4971;0.0;0;0.0;0;0;0
16;"Bayern";"BP";16047;0.0;35543;0.0;0;0;0
17;"Niedersachsen";"FDP";350420;0.0;588401;0.0;0;0;0
16;"Bayern";"CSU";3889990;0.0;3494309;0.0;0;0;0
16;"Sachsen";"DIE LINKE";590726;0.0;603824;0.0;0;0;0
16;"Rheinland-Pfalz";"DIE LINKE";111029;0.0;132154;0.0;0;0;0
16;"Rheinland-Pfalz";"GRÜNE";99769;0.0;172900;0.0;0;0;0
17;"Nordrhein-Westfalen";"RENTNER";0;0.0;33821;0.0;0;0;0
16;"Saarland";"DIE LINKE";109509;0.0;117089;0.0;0;0;0
17;"Sachsen-Anhalt";"CDU";388171;0.0;362311;0.0;0;0;0
16;"Sachsen-Anhalt";"FDP";71965;0.0;117155;0.0;0;0;0
16;"Sachsen";"PSG";0;0.0;6549;0.0;0;0;0
17;"Nordrhein-Westfalen";"ZENTRUM";0;0.0;6087;0.0;0;0;0
17;"Schleswig-Holstein";"DIE VIOLETTEN";553;0.0;0;0.0;0;0;0
17;"Hamburg";"RENTNER";0;0.0;6572;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"CDU";301823;0.0;287481;0.0;0;0;0
17;"Bayern";"DVU";0;0.0;3491;0.0;0;0;0
17;"Sachsen-Anhalt";"DVU";0;0.0;3529;0.0;0;0;0
17;"Baden-Württemberg";"SPD";1285617;0.0;1051198;0.0;0;0;0
16;"Thüringen";"CDU";420605;0.0;372435;0.0;0;0;0
17;"Bremen";"SPD";121467;0.0;102419;0.0;0;0;0
17;"Schleswig-Holstein";"FDP";170070;0.0;261767;0.0;0;0;0
17;"Schleswig-Holstein";"PIRATEN";0;0.0;33277;0.0;0;0;0
16;"Niedersachsen";"MLPD";440;0.0;1911;0.0;0;0;0
16;"Brandenburg";"SPD";608044;0.0;561689;0.0;0;0;0
17;"Sachsen";"DIE LINKE";543805;0.0;551461;0.0;0;0;0
16;"Hessen";"FDP";158793;0.0;392123;0.0;0;0;0
17;"Berlin";"BüSo";10946;0.0;4709;0.0;0;0;0
17;"Berlin";"PIRATEN";0;0.0;58062;0.0;0;0;0
16;"Saarland";"MLPD";223;0.0;686;0.0;0;0;0
17;"Baden-Württemberg";"ADM";0;0.0;2889;0.0;0;0;0
17;"Rheinland-Pfalz";"PIRATEN";3188;0.0;41728;0.0;0;0;0
16;"Sachsen";"REP";5900;0.0;13112;0.0;0;0;0
17;"Rheinland-Pfalz";"GRÜNE";174941;0.0;211971;0.0;0;0;0
16;"Thüringen";"DIE LINKE";368228;0.0;378340;0.0;0;0;0
17;"Thüringen";"ödp";1416;0.0;5086;0.0;0;0;0
17;"Thüringen";"DIE LINKE";357428;0.0;354875;0.0;0;0;0
16;"Niedersachsen";"GRÜNE";224575;0.0;354853;0.0;0;0;0
17;"Rheinland-Pfalz";"NPD";34514;0.0;26077;0.0;0;0;0
16;"Bayern";"SPD";1960561;0.0;1806548;0.0;0;0;0
17;"Brandenburg";"MLPD";0;0.0;1621;0.0;0;0;0
16;"Berlin";"BüSo";10320;0.0;3494;0.0;0;0;0
17;"Bayern";"MLPD";540;0.0;1769;0.0;0;0;0
16;"Nordrhein-Westfalen";"FAMILIE";8645;0.0;42421;0.0;0;0;0
17;"Hessen";"GRÜNE";287044;0.0;381948;0.0;0;0;0
17;"Berlin";"CDU";452542;0.0;393180;0.0;0;0;0
16;"Brandenburg";"DIE LINKE";423111;0.0;416359;0.0;0;0;0
16;"Hessen";"BüSo";653;0.0;2958;0.0;0;0;0
16;"Rheinland-Pfalz";"SPD";946310;0.0;822074;0.0;0;0;0
16;"Baden-Württemberg";"BüSo";567;0.0;4260;0.0;0;0;0
17;"Hamburg";"GRÜNE";128440;0.0;138454;0.0;0;0;0
16;"Mecklenburg-Vorpommern";"NPD";32944;0.0;34747;0.0;0;0;0
17;"Baden-Württemberg";"DIE LINKE";345551;0.0;389637;0.0;0;0;0
17;"Berlin";"DVU";0;0.0;2275;0.0;0;0;0
17;"Nordrhein-Westfalen";"PIRATEN";0;0.0;158585;0.0;0;0;0
16;"Bremen";"CDU";96120;0.0;82389;0.0;0;0;0
16;"Sachsen";"FDP";176889;0.0;269623;0.0;0;0;0
17;"Nordrhein-Westfalen";"MLPD";6636;0.0;4268;0.0;0;0;0
17;"Niedersachsen";"ödp";0;0.0;5364;0.0;0;0;0
16;"Brandenburg";"MLPD";0;0.0;3514;0.0;0;0;0
17;"Rheinland-Pfalz";"PBC";0;0.0;5823;0.0;0;0;0
17;"Sachsen";"CDU";888018;0.0;800898;0.0;0;0;0
16;"Schleswig-Holstein";"SPD";761302;0.0;655361;0.0;0;0;0
17;"Saarland";"FDP";42107;0.0;69427;0.0;0;0;0
16;"Thüringen";"MLPD";1595;0.0;5668;0.0;0;0;0
17;"Nordrhein-Westfalen";"CDU";3706284;0.0;3111478;0.0;0;0;0
17;"Schleswig-Holstein";"MLPD";0;0.0;616;0.0;0;0;0
17;"Schleswig-Holstein";"DIE LINKE";113319;0.0;127203;0.0;0;0;0
16;"Hamburg";"GRÜNE";85730;0.0;140751;0.0;0;0;0
17;"Thüringen";"SPD";255060;0.0;216593;0.0;0;0;0
17;"Sachsen-Anhalt";"DIE LINKE";383800;0.0;389456;0.0;0;0;0
16;"Nordrhein-Westfalen";"MLPD";4625;0.0;5815;0.0;0;0;0
16;"Nordrhein-Westfalen";"GRÜNE";433372;0.0;782551;0.0;0;0;0
17;"Bayern";"REP";13564;0.0;54588;0.0;0;0;0
17;"Hessen";"PIRATEN";3866;0.0;66708;0.0;0;0;0
17;"Brandenburg";"DIE LINKE";410330;0.0;395566;0.0;0;0;0
