Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Christina";"Diggance";"DIE VIOLETTEN";1966;500;W
;"Esther";"Dilcher";"SPD";1965;501;W
;"Dirk";"Dillschneider";"CDU";1974;502;M
;"Michael";"Dimitrov";"FDP";1973;503;M
;"Erkan";"Dinar";"DIE LINKE";1980;504;M
;"Konrad Willibald";"Dippel";;1971;505;M
;"Alfred";"Dirks";"DIE LINKE";1951;506;M
;"Frank Holger Kurt";"Ditsche";;1966;507;M
;"Heidrun";"Dittrich";"DIE LINKE";1958;508;W
"Dr.";"Bijan";"Djir-Sarai";"FDP";1976;509;M
"Dr.";"Larissa";"Dloczik";"ödp";1967;510;W
;"Josef";"Dobelmann";"GRÜNE";1957;511;M
;"Wolfgang";"Dobler";"FDP";1954;512;M
;"Alexander";"Dobrindt";"CSU";1970;513;M
;"Wolfgang";"Döcke";"FDP";1954;514;M
;"Sebastian";"Döhring";"NPD";1980;515;M
"Prof. Dr.";"Martina";"Dören";"SPD";1959;516;W
;"Thomas";"Dörflinger";"CDU";1965;517;M
;"Patrick";"Döring";"FDP";1973;518;M
;"Waltraud";"Döring";"ödp";1952;519;W
;"Wilfried";"Döring";"ödp";1953;520;M
;"Axel";"Dörken";;1967;521;M
;"Peter J.";"Dörken";"RRP";1938;522;M
;"Helmut";"Dörlitz";"DVU";1963;523;M
;"Martin";"Dörmann";"SPD";1962;524;M
;"Katja";"Dörner";"GRÜNE";1976;525;W
;"Uwe";"Dörnhöfer";"SPD";1969;526;M
;"Joachim";"Dörr";"SPD";1968;527;M
;"Vera Nadja";"Döscher";"FDP";1972;528;W
;"Marie-Luise";"Dött";"CDU";1953;529;W
;"Norbert";"Dohmen";"GRÜNE";1951;530;M
;"Helmut-Hartwig";"Doll";"DIE LINKE";1948;531;M
;"Pauli";"Doll";"BP";1956;532;M
;"Norbert";"Domes";"DIE LINKE";1950;533;M
;"Dennis";"Dormuth";"NPD";1980;534;M
;"Hubert";"Dorn";"BP";1956;535;M
;"Bernd";"Dorst";;1950;536;M
;"Horst";"Dotten";"MLPD";1957;537;M
;"Thomas";"Dotzler";"BP";1965;538;M
;"Alexander Ewald";"Drage van";"REP";1980;539;M
;"Wolf-Henry";"Dreblow";"FDP";1958;540;M
;"Jochen";"Dreetz";"GRÜNE";1956;541;M
;"Werner";"Dreibus";"DIE LINKE";1947;542;M
"Dr.";"Artur";"Dreischer";"Volksabstimmung";1928;543;M
"Dr.";"Ulrich";"Drerup";"CDU";1951;544;M
;"Max Jürgen";"Drescher";"FDP";1968;545;M
"Dr.";"Carl-Christian";"Dressel";"SPD";1970;546;M
;"Hans-Joachim";"Drewes";"RRP";1936;547;M
;"Gerhard";"Drexler";"FDP";1964;548;M
;"Heidi";"Drinkard";"NPD";1946;549;W
;"Klaus Willy";"Drinkmann";"RENTNER";1937;550;M
;"Waltraud Lotte";"Drinkmann";"RENTNER";1954;551;W
;"Elvira";"Drobinski-Weiß";"SPD";1951;552;W
;"Ute Regina";"Drothler";"ödp";1969;553;W
;"Kai-Uwe";"Ducke";"BüSo";1975;554;M
;"Wolfgang Georg";"Duda";"NPD";1962;555;M
;"Garrelt";"Duin";"SPD";1968;556;M
;"Angelica";"Dullinger";"SPD";1960;557;W
;"Andrea Brigitte";"Dumberger";"MLPD";1957;558;W
;"Klaus";"Dumberger";"MLPD";1964;559;M
;"Nina";"Dusper";"MLPD";1975;560;W
"Dr.";"Kurt Carlos";"Duwe";"FDP";1951;561;M
;"Mechthild";"Dyckmans";"FDP";1950;562;W
;"Thomas";"Dyhr";"GRÜNE";1958;563;M
;"Klaus-Peter";"Eberhard";"FDP";1962;564;M
;"Dagmar";"Eberhard-Forschner";"MLPD";1953;565;W
"Dr.";"Christian";"Eberl";"FDP";1954;566;M
;"Johann";"Eberle";"BP";1948;567;M
;"Dieter";"Ebert";"REP";1955;568;M
;"Harald";"Ebner";"GRÜNE";1964;569;M
;"Jutta";"Eckenbach";"CDU";1952;570;W
;"Michael";"Eckert";;1981;571;M
;"René";"Eckert van";"SPD";1987;572;M
;"Hannelore";"Eckhardt";"SPD";1954;573;W
;"Herbert";"Eckler";"BüSo";1931;574;M
;"Sebastian";"Edathy";"SPD";1969;575;M
;"Lars Oliver";"Effertz";"FDP";1978;576;M
;"Jürgen";"Eggers";"DIE LINKE";1957;577;M
;"Ingo";"Egloff";"SPD";1956;578;M
;"Hasso";"Ehinger";"DIE LINKE";1940;579;M
;"Hans-Joachim";"Ehnes";"DIE LINKE";1956;580;M
;"Hans-Werner";"Ehrenberg";"FDP";1952;581;M
;"Robert";"Ehrhardt";"REP";1982;582;M
;"Ewald";"Ehrl";"NPD";1961;583;M
;"Martina";"Ehrlich";"SPD";1965;584;W
;"Siegmund";"Ehrmann";"SPD";1952;585;M
;"Bernd";"Ehrreich";"NPD";1972;586;M
;"Ulrich";"Eichhorst";"SPD";1946;587;M
;"Martin";"Eichler";"ödp";1968;588;M
;"Rainer Hans";"Eichler";"REP";1950;589;M
;"Franziska";"Eichstädt-Bohlig";"GRÜNE";1941;590;W
;"Hermann Josef Jupp";"Eicker";"MLPD";1949;591;M
;"Andreas";"Eickmeier";"FDP";1954;592;M
;"Andreas";"Eifler";"MLPD";1955;593;M
;"Manuela";"Eifler";"MLPD";1957;594;W
;"Ellen";"Eigemeier";"ödp";1970;595;W
;"Helmut";"Eigen";"DIE LINKE";1955;596;M
;"Ulrich";"Eigenfeld";"NPD";1947;597;M
;"Egon";"Eigenthaler";"REP";1938;598;M
;"Gerhard Fritz";"Einrauch";"REP";1929;599;M
;"Toralf";"Einsle";"FDP";1980;600;M
"Dr.";"Stephan";"Eisel";"CDU";1955;601;M
;"Dietmar";"Eisele";"GRÜNE";1959;602;M
;"Klaus Peter";"Eisold";"SPD";1961;603;M
;"Henrik";"Eitel";"CDU";1977;604;M
;"Hanaa";"El-Hussein";"FDP";1968;605;W
"Dr.";"Andreas";"Ellendt";"CDU";1963;606;M
;"Stefan";"Ellenrieder";"BP";1961;607;M
;"René";"Emcke";"PIRATEN";1977;608;M
;"Raimund Karl";"Enders";"FAMILIE";1953;609;M
;"Thomas";"Endres";"DIE LINKE";1960;610;M
;"Leopold";"Endriß";"ADM";1936;611;M
;"Franziska";"Engehausen";"SPD";1963;612;W
;"Stefan Klaus";"Engel";"MLPD";1954;613;M
"Dr.";"Ursula";"Engelen-Kefer";"SPD";1943;614;W
;"Klaus Bruno";"Engelhardt";"DIE LINKE";1953;615;M
;"Sigurd Adolf";"Engelmann";"NPD";1936;616;M
;"Michaela Barbara";"Engelmeier-Heite";"SPD";1960;617;W
;"Martin";"Engels";"CDU";1963;618;M
;"Oliver";"Engels";"FDP";1969;619;M
;"Rainer";"Engels";"NPD";1963;620;M
;"Christine";"Engelschall";"Die Tierschutzpartei";1965;621;W
;"Jan";"Engert";"PIRATEN";1986;622;M
;"Gaby";"Englmeier";"CSU";1967;623;W
"Dr.";"Dagmar";"Enkelmann";"DIE LINKE";1956;624;W
;"Horst";"Entinger";"RRP";1944;625;M
;"Jürgen";"Eppler";"ADM";1971;626;M
;"Birgit";"Erben";"DIE LINKE";1952;627;W
;"Rainer";"Erdel";"FDP";1955;628;M
;"Christoph";"Erdmenger";"GRÜNE";1970;629;M
;"David";"Erkalp";"CDU";1974;630;M
;"Frank";"Erkner";"FDP";1966;631;M
;"Gernot";"Erler";"SPD";1944;632;M
;"Wolfgang Manfred";"Ermert";"REP";1944;633;M
;"Klaus";"Ernst";"DIE LINKE";1954;634;M
;"Petra";"Ernstberger";"SPD";1955;635;W
;"Engin";"Eroglu";"GRÜNE";1982;636;M
;"Mario";"Ertel";"NPD";1963;637;M
;"Mario";"Ertel";"ödp";1976;638;M
;"Frank";"Eschrich";"DIE LINKE";1964;639;M
;"Saskia";"Esken";"SPD";1961;640;W
;"Jörg";"Essen van";"FDP";1947;641;M
;"Hubert";"Eßer";"SPD";1959;642;M
;"Steffen";"Etzel";"DIE LINKE";1950;643;M
;"Nina";"Eumann";"DIE LINKE";1965;644;W
;"Dieter Walter Karl";"Euscher";"RRP";1939;645;M
;"Karin";"Evers-Meyer";"SPD";1949;646;W
;"Adalbert Peter";"Ewen";"CDU";1952;647;M
;"Monika";"Ewert";"REP";1940;648;W
;"Anke";"Eymer";"CDU";1949;649;W
;"Stefan";"Faber";"NPD";1951;650;M
"Dr.";"Bernd-Bernhard";"Fabritius";"CSU";1965;651;M
;"Hannelore";"Fackler-Plump";"BüSo";1946;652;W
;"Ivette Annabell";"Fähnemann";"DVU";1974;653;W
"Prof. Dr.";"Christine";"Färber";"SPD";1964;654;W
;"Daniel";"Fahr";"FDP";1976;655;M
;"Florian";"Fahrner";"ödp";1978;656;M
;"David";"Faku";"BüSo";1986;657;M
;"Tobias Christoph Mzingisi";"Faku";"BüSo";1988;658;M
;"Benno";"Falk";"MLPD";1953;659;M
;"Markus";"Falk";"FDP";1970;660;M
;"Peter";"Falk";"SPD";1964;661;M
;"Herbert";"Falke";"GRÜNE";1956;662;M
;"Rena";"Farquhar";"FDP";1974;663;W
;"Gabriele";"Faulhaber";"DIE LINKE";1953;664;W
;"Dirk";"Faust";"FDP";1971;665;M
"Dr.";"Hans-Georg";"Faust";"CDU";1948;666;M
;"Matthias";"Faust";"DVU";1971;667;M
"Dr.";"Johannes";"Fechner";"SPD";1972;668;M
;"Hanno";"Fecke";"SPD";1962;669;M
;"Katharina";"Fegebank";"GRÜNE";1977;670;W
;"Thomas";"Fehling";"FDP";1967;671;M
;"Ralf";"Fehlmann";"FAMILIE";1957;672;M
;"Anette";"Feike";"SPD";1959;673;W
;"Katharina";"Feike";"SPD";1976;674;W
;"Uwe";"Feiler";"CDU";1965;675;M
;"Karin";"Feindt";"NPD";1940;676;W
"Dr.";"Thomas Wolfgang";"Feist";"CDU";1965;677;M
;"Konrad Kurt";"Felber";"FDP";1953;678;M
;"Thomas";"Feldhaus";;1972;679;M
;"Dagmar";"Feldmann";"FAMILIE";1963;680;W
;"Thurid";"Feldmann";"DIE LINKE";1964;681;W
;"Martina";"Feldmayer";"GRÜNE";1964;682;W
"Dr.";"Fritz";"Felgentreu";"SPD";1968;683;M
"Dr.";"Bernd";"Fell";"FDP";1948;684;M
;"Hans-Josef";"Fell";"GRÜNE";1952;685;M
;"Madeleine";"Fellauer";"BüSo";1979;686;W
;"Peter";"Fendt";"BP";1950;687;M
;"Stefan";"Fenner";"FDP";1958;688;M
;"Gisbert";"Ferger";"REP";1933;689;M
;"Enak";"Ferlemann";"CDU";1963;690;M
;"Elke";"Ferner";"SPD";1958;691;W
;"Wolfgang";"Ferner";"DIE LINKE";1952;692;M
"Dr.";"Stefan";"Feuerstein";"FDP";1951;693;M
;"Alexander";"Feyen";"NPD";1975;694;M
;"Thomas";"Fickenwirth";"FDP";1954;695;M
;"Sascha";"Fiek";"FDP";1974;696;M
;"Marion";"Figge";"NPD";1964;697;W
;"Josef";"Filippek";"DIE LINKE";1949;698;M
;"Matthias";"Fimmel";;1971;699;M
;"Elke";"Fimmen";"BüSo";1954;700;W
;"Klaus";"Fimmen";"BüSo";1956;701;M
;"Jochen";"Findeisen";"DIE LINKE";1948;702;M
;"Jan Niklas";"Fingerle";"PIRATEN";1974;703;M
;"Eva-Maria";"Fink-Hanebuth";"FDP";1955;704;W
;"Peter";"Finke";"RENTNER";1949;705;M
;"Ingrid";"Fischbach";"CDU";1957;706;W
;"Axel";"Fischer";"CDU";1966;707;M
;"Christian";"Fischer";"NPD";1982;708;M
;"Christian";"Fischer";"PIRATEN";1979;709;M
"Dr.";"Dietrich";"Fischer";"REP";1930;710;M
;"Dirk Erik";"Fischer";"CDU";1943;711;M
;"Harald";"Fischer";"FAMILIE";1960;712;M
;"Hartwig";"Fischer";"CDU";1948;713;M
;"Karl-Heinz";"Fischer";"REP";1952;714;M
;"Lydia";"Fischer";"CDU";1949;715;W
;"Marcus";"Fischer";"FDP";1964;716;M
;"Markus";"Fischer";"FDP";1964;717;M
;"Peter";"Fischer";"SPD";1955;718;M
;"Poul-Ludwig";"Fischer";"FDP";1946;719;M
;"Roland";"Fischer";"SPD";1961;720;M
;"Werner";"Fischer";;1955;721;M
;"Jürgen";"Fischinger";"NPD";1956;722;M
;"Peter";"Fitzek";;1965;723;M
;"Ulrike";"Flach";"FDP";1951;724;W
"Dr.";"Maria Franziska";"Flachsbarth";"CDU";1963;725;W
;"Daniel";"Flachshaar";"PIRATEN";1976;726;M
"Dr.";"Helmut";"Fleck";"Volksabstimmung";1938;727;M
;"Hermann";"Fleischer";"DIE LINKE";1950;728;M
;"Holger";"Flöge";"FDP";1956;729;M
;"Klaus-Peter";"Flosbach";"CDU";1952;730;M
;"Thomas";"Flügge";"SPD";1974;731;M
;"Stephan";"Flug";"NPD";1967;732;M
;"Matthias";"Fobo";"GRÜNE";1961;733;M
;"Bert-Rüdiger";"Förster";"REP";1942;734;M
;"Hildegard";"Förster-Heldmann";"GRÜNE";1958;735;W
;"Frank";"Förstermann";"CDU";1964;736;M
;"Verena";"Föttinger";"ödp";1956;737;W
;"Gabriele";"Fograscher";"SPD";1957;738;W
;"Peter";"Forelle";"CDU";1973;739;M
;"Manuela";"Forster";"ödp";1972;740;W
;"Josef";"Fortner";"ödp";1960;741;M
"Dr.";"Johannes";"Frackowiak";"FDP";1968;742;M
;"Sven Henri";"Franck";"SPD";1959;743;M
;"Hartmut";"Frank";;1953;744;M
;"Maria";"Frank";;1938;745;W
"Dr.";"Edgar";"Franke";"SPD";1960;746;M
;"Philipp";"Frankenfeld";"FDP";1971;747;M
;"Herbert";"Frankenhauser";"CSU";1945;748;M
;"Frank";"Franz";"NPD";1978;749;M
;"Markus";"Franz";"CDU";1963;750;M
;"Uwe";"Franz";"SPD";1962;751;M
;"Manfred";"Franzke";;1952;752;M
;"Gabriele";"Frechen";"SPD";1956;753;W
;"Dorothea";"Frederking";"GRÜNE";1964;754;W
;"Jürgen";"Freimuth";"ödp";1954;755;M
;"Dagmar";"Freitag";"SPD";1953;756;W
;"Reinhard";"Freitag";"FDP";1961;757;M
;"Manfred";"Frentzen";"NPD";1948;758;M
;"Erich";"Freudenberger";"PBC";1971;759;M
;"Astrid";"Freudenstein";"CSU";1973;760;W
;"Klaus";"Freudigmann";"MLPD";1942;761;M
;"Elvira-Anna";"Fricke";"MLPD";1934;762;W
;"Otto";"Fricke";"FDP";1965;763;M
;"Sebastian";"Fricke";"GRÜNE";1974;764;M
;"Sabine";"Fricker";"MLPD";1957;765;W
;"Markus Paul Felix";"Fridgen";"NPD";1975;766;M
;"Carolin";"Friedemann";"GRÜNE";1981;767;W
;"Paul Klemens";"Friedhoff";"FDP";1943;768;M
;"Peter";"Friedhoff";"FDP";1970;769;M
;"Patrick";"Friedl";"GRÜNE";1970;770;M
"Dr.";"Hans-Peter";"Friedrich";"CSU";1957;771;M
;"Peter";"Friedrich";"SPD";1972;772;M
;"Thomas";"Friedrich";"ödp";1955;773;M
;"Hans-Christian";"Friedrichs";"GRÜNE";1964;774;M
;"Maika";"Friemann-Jennert";"CDU";1964;775;W
;"Michael";"Frieser";"CSU";1964;776;M
;"Urs Fabian";"Frigger";"FDP";1984;777;M
"Dr.";"Benedikt";"Frings";"NPD";1957;778;M
;"Jörg";"Frister";"FDP";1977;779;M
;"Kerstin";"Fritsch";"NPD";1962;780;W
;"Nicole";"Fritsche";"DIE LINKE";1979;781;W
;"Erich Georg";"Fritz";"CDU";1946;782;M
;"Maria-Elisabeth";"Fritzen";"GRÜNE";1962;783;W
;"Jakobus";"Fröhlich";"MLPD";1945;784;M
;"Josephine";"Fröhlich";"NPD";1984;785;W
;"Patrick";"Fröhlich";"CSU";1981;786;M
;"Ulrich";"Fröhlich-Abrecht";"CDU";1974;787;M
;"Christa";"Frohn";"DIE LINKE";1955;788;W
;"Gabi";"Fromm";"SPD";1951;789;W
;"Jochen-Konrad";"Fromme";"CDU";1949;790;M
;"Ferdinand";"Frummet";"RRP";1951;791;M
;"Klaus";"Fuchs";"MLPD";1954;792;M
"Dr.";"Michael";"Fuchs";"CDU";1949;793;M
;"Hans-Joachim";"Fuchtel";"CDU";1952;794;M
;"Gabriel";"Fürst";"CDU";1978;795;M
;"Alexander";"Fürter";"FDP";1970;796;M
;"Klaus-Wilhelm";"Füßmann";"FDP";1957;797;M
;"Michael";"Fuest";"GRÜNE";1955;798;M
;"Gerald Paul";"Fütterer";"ödp";1957;799;M
;"Alexander";"Funk";"CDU";1974;800;M
;"Reinhard";"Funk";"MLPD";1958;801;M
;"Madeleine";"Funke";"CDU";1963;802;W
;"Holger";"Furch";"PIRATEN";1985;803;M
;"Irina";"Gaba";"BP";1988;804;W
;"Martin";"Gabling";"NPD";1962;805;M
;"Sigmar";"Gabriel";"SPD";1959;806;M
;"Ingo";"Gädechens";"CDU";1960;807;M
;"Gabriele";"Gärtner";"MLPD";1977;808;W
;"Joachim";"Gärtner";"MLPD";1948;809;M
;"Johann";"Gärtner";"REP";1950;810;M
;"Matthias";"Gärtner";"NPD";1984;811;M
;"Monika Ruth";"Gärtner-Engel";"MLPD";1952;812;W
;"Annegret";"Gärtner-Leymann";"MLPD";1977;813;W
;"Siegfried";"Gärttner";"NPD";1946;814;M
;"Uwe";"Gäthje";"RRP";1940;815;M
;"Giuliano";"Gagliardi";;1988;816;M
"Dr.";"Wolfgang";"Gahler";;1948;817;M
;"Dietmar";"Gaisenkersting";"PSG";1967;818;M
;"Silke";"Gajek";"GRÜNE";1962;819;W
"Dr.";"Klaus Olaf Hagen";"Gallas";"SPD";1941;820;M
;"Ronald";"Galle";"BüSo";1957;821;M
;"Marc";"Galwas";"DKP";1970;822;M
"Dr.";"Thomas";"Gambke";"GRÜNE";1949;823;M
;"Oliver";"Gantz";"CDU";1981;824;M
;"Wilhelm";"Gasser";"PIRATEN";1960;825;M
;"Harald Wilhelm";"Gatermann";"DIE LINKE";1955;826;M
;"Ulrike";"Gauderer";"GRÜNE";1971;827;W
;"Reiner";"Gauger";"CDU";1962;828;M
"Dr.";"Horst";"Gaumann";"FDP";1965;829;M
"Dr.";"Peter";"Gauweiler";"CSU";1949;830;M
"Dr.";"Thomas";"Gebhart";"CDU";1971;831;M
"Dr.";"Jürgen";"Gehb";"CDU";1952;832;M
;"Wolfgang";"Gehrcke-Reymann";"DIE LINKE";1943;833;M
;"Kai Boris";"Gehring";"GRÜNE";1977;834;M
;"Norbert";"Geis";"CSU";1939;835;M
;"Andreas Werner";"Geisel";"SPD";1966;836;M
"Dr.";"Edmund Peter";"Geisen";"FDP";1949;837;M
;"Hans-Christoph";"Gensichen";"PBC";1933;838;M
;"Patrick";"Gentsch";"NPD";1976;839;M
;"Sven";"George";"DKP";1985;840;M
;"Gabriele";"Georgiou";"MLPD";1955;841;W
;"Christian";"Gerber";"GRÜNE";1985;842;M
;"Michael";"Gerdes";"SPD";1960;843;M
"Dr.";"Klaus-Uwe";"Gerhardt";"GRÜNE";1955;844;M
"Dr.";"Wolfgang";"Gerhardt";"FDP";1943;845;M
;"Alois";"Gerig";"CDU";1956;846;M
;"Kai";"Gersch";"FDP";1971;847;M
;"Martin";"Gerster";"SPD";1971;848;M
;"Waltraud";"Geß";"CM";1965;849;W
;"Joachim";"Gessinger";"GRÜNE";1945;850;M
;"Klaus Erwin";"Gewehr";"SPD";1958;851;M
;"Paul Felix";"Giebeler";"BüSo";1981;852;M
;"Michael";"Gielnik";"NPD";1983;853;M
;"Eberhard";"Gienger";"CDU";1951;854;M
;"Elisabeth";"Gierlings";"SPD";1932;855;W
;"Rita";"Giermann";"MLPD";1941;856;W
;"Tim";"Giesbert";"GRÜNE";1980;857;M
;"Herta-Margarete";"Giese";"Die Tierschutzpartei";1935;858;W
;"Jan";"Giesel";"ödp";1972;859;M
;"David";"Giesler";"NPD";1984;860;M
;"Anton";"Gieß";"RENTNER";1941;861;M
;"Cornelia";"Gießler";"CDU";1978;862;W
;"Raimund";"Gilbert";"BP";1990;863;M
;"Alexandra";"Gill-Gers";"SPD";1970;864;W
;"Horst Helmut";"Gilles";"RRP";1943;865;M
;"Elmar";"Gillet";"GRÜNE";1965;866;M
;"Marlene";"Gilsdorf";"ödp";1935;867;W
;"Magdalena Isabella";"Giren";"DIE LINKE";1960;868;W
;"Dagmar";"Girmus";"Die Tierschutzpartei";1946;869;W
;"Gero";"Gisart";"CDU";1942;870;M
;"Klaus";"Glahn";"RRP";1942;871;M
;"Claudia";"Glanz";"GRÜNE";1954;872;W
;"Bärbel";"Glas";"CDU";1962;873;W
;"Iris";"Gleicke";"SPD";1964;874;W
;"David";"Glöckner";"REP";1985;875;M
;"Michael";"Glos";"CSU";1944;876;M
;"Günter";"Gloser";"SPD";1950;877;M
;"Ulrich";"Glück";"ödp";1969;878;M
;"Therese";"Gmelch";"MLPD";1955;879;W
;"Eva-Maria";"Godau";;1947;880;W
;"Angela";"Godawa";"SPD";1958;881;W
;"Angelika";"Göhner-Feller";"MLPD";1954;882;W
;"Nerman";"Göktas";"DIE LINKE";1958;883;M
;"Fritz";"Göldner";"PBC";1966;884;M
;"Josef";"Göppel";"CSU";1950;885;M
;"Katrin";"Göring-Eckardt";"GRÜNE";1966;886;W
;"Bianca";"Görke";"DIE LINKE";1967;887;W
;"Horst Günter";"Görmann";"NPD";1953;888;M
;"Ralf";"Goertz";"REP";1965;889;M
;"Christian";"Götz";"NPD";1967;890;M
;"Elisabeth";"Götz";"NPD";1969;891;W
;"Peter";"Götz";"CDU";1947;892;M
"Dr.";"Wolfgang";"Götzer";"CSU";1955;893;M
;"Marco";"Gogolin";"SPD";1980;894;M
;"Nicole";"Gohlke";"DIE LINKE";1975;895;W
;"Lars";"Gold";"NPD";1985;896;M
;"Stephanie-Johanna";"Goldbach";"Die Tierschutzpartei";1980;897;W
;"Hans-Michael";"Goldmann";"FDP";1946;898;M
;"Ulrike";"Goldstein";"GRÜNE";1976;899;W
;"Heinz";"Golombeck";"FDP";1948;900;M
;"Diana";"Golze";"DIE LINKE";1975;901;W
;"Axel";"Gonder";"DIE LINKE";1958;902;M
;"Markus";"Gorges";"CDU";1975;903;M
;"Thomas";"Gorr";"NPD";1968;904;M
;"Ulrike";"Gottschalck";"SPD";1955;905;W
;"Sascha";"Gottschalk";"GRÜNE";1978;906;M
;"Ralf";"Grabow";"FDP";1965;907;M
;"Dirk";"Grabowski";;1973;908;M
;"Andrea";"Graf";"GRÜNE";1966;909;W
;"Angelika";"Graf";"SPD";1947;910;W
;"Rainer";"Graf";"ödp";1957;911;M
;"Jutta";"Graf-Baier";"DIE LINKE";1947;912;W
;"Iris";"Gramberg";"DIE LINKE";1960;913;W
;"Markus";"Grammel";"PBC";1976;914;M
;"Ute";"Granold";"CDU";1955;915;W
;"Bruno";"Granser";"REP";1953;916;M
;"Dennis";"Granzow";"SPD";1963;917;M
;"Heinz Hubertus";"Grass";"GRÜNE";1958;918;M
;"Armin";"Grassert";"DIE VIOLETTEN";1959;919;M
;"Denis";"Gratzke";"NPD";1978;920;M
;"Toralf";"Grau";"REP";1986;921;M
;"Oliver";"Graue";"ödp";1967;922;M
;"Stefan Josef";"Graus";"SPD";1977;923;M
;"Gero";"Greb";;1945;924;M
;"Marlies";"Grebe";"SPD";1956;925;W
;"Max Josef";"Greckl";"RRP";1941;926;M
;"Christian";"Greeb";"NPD";1984;927;M
;"Sebastian";"Greiber";"FDP";1980;928;M
;"Judith";"Greif";"GRÜNE";1984;929;W
;"Annette";"Greilich";"FDP";1958;930;W
;"Eberhard";"Grein";"CSU";1959;931;M
;"Simon";"Gremmler";"ödp";1983;932;M
;"Maria";"Greuter";"SPD";1953;933;W
;"Michael";"Grewe";"NPD";1968;934;M
;"Monika";"Griefahn";"SPD";1954;935;W
;"Joachim";"Griesbaum";"MLPD";1955;936;M
;"Kerstin";"Griese";"SPD";1966;937;W
;"Mareike";"Grigo";"GRÜNE";1977;938;W
;"Katrin";"Grigoleit";"MLPD";1968;939;W
;"Gisela";"Grimm";"BP";1962;940;W
;"Reinhard Dieter";"Grindel";"CDU";1961;941;M
;"Hermann";"Gröhe";"CDU";1961;942;M
;"Raphael";"Grohganz";"CDU";1952;943;M
;"Franz";"Groll";"DIE LINKE";1943;944;M
;"Gabriele";"Groneberg";"SPD";1955;945;W
;"Peter";"Groos";"GRÜNE";1964;946;M
;"Michael";"Groschek";"SPD";1956;947;M
;"Michael Peter";"Groß";"SPD";1956;948;M
;"Thorsten";"Groß";"NPD";1973;949;M
;"Werner";"Groß";"SPD";1962;950;M
;"Klaus";"Große";"FDP";1953;951;M
;"Michael";"Grosse-Brömer";"CDU";1960;952;M
;"Lüder";"Grosser";"BüSo";1973;953;M
;"Heinz";"Großhans";"DIE VIOLETTEN";1955;954;M
;"Marc";"Großjean";"PIRATEN";1986;955;M
;"Edward";"Grossmann";"Volksabstimmung";1947;956;M
;"Astrid";"Grotelüschen";"CDU";1964;957;W
;"Annette";"Groth";"DIE LINKE";1954;958;W
;"Inga";"Groth";"CDU";1981;959;W
;"Andreas";"Grube";;1960;960;M
;"Karl-Peter";"Grube";"ödp";1951;961;M
;"Andreas";"Gruber";"BP";1946;962;M
;"Markus";"Grübel";"CDU";1959;963;M
;"Michael Johannes";"Gründler";"BüSo";1958;964;M
;"Rolf";"Grüning";"DIE LINKE";1959;965;M
;"Holger";"Grünwedel";"DIE LINKE";1958;966;M
;"Michael";"Grüß";"DKP";1976;967;M
"Dr.";"Stefan";"Grüter";"CDU";1954;968;M
"Prof.";"Monika";"Grütters";"CDU";1962;969;W
;"Manfred";"Grund";"CDU";1955;970;M
;"Erhard";"Grundl";"GRÜNE";1963;971;M
;"Miriam";"Gruß";"FDP";1975;972;W
;"Helmut";"Gudat";"NPD";1957;973;M
;"Elke";"Gülck";"DVU";1937;974;W
;"Tanya-Michelé";"Günter";"FAMILIE";1969;975;W
;"Joachim";"Günther";"FDP";1948;976;M
;"Derya";"Gür";"GRÜNE";1981;977;W
;"Achim";"Güssgen";"FDP";1957;978;M
;"Ravindra";"Gujjula";"SPD";1954;979;M
;"Dietrich";"Gumppenberg Freiherr von";"FDP";1941;980;M
;"Madline";"Gund";"CDU";1987;981;W
;"Rosemarie";"Gunder";"GRÜNE";1952;982;W
;"Andrea";"Gungl";"CDU";1959;983;W
;"Wolfgang";"Gunkel";"SPD";1947;984;M
;"Erold";"Gutowski";"REP";1950;985;M
;"Hermann";"Gutsche";"NPD";1954;986;M
"Dr.";"Karl-Theodor";"Guttenberg Freiherr von und zu";"CSU";1971;987;M
;"Olav";"Gutting";"CDU";1970;988;M
"Dr.";"Gregor";"Gysi";"DIE LINKE";1948;989;M
;"Tilo";"Haag";"PIRATEN";1978;990;M
;"Detlef";"Haar";"RRP";1945;991;M
;"Heiner Joachim";"Haase";"GRÜNE";1957;992;M
;"Stephan";"Haase";"NPD";1968;993;M
;"Christine";"Habereder";"Volksabstimmung";1963;994;W
;"Thomas";"Habisch";"PIRATEN";1969;995;M
;"Manuel";"Hachenburger";;1962;996;M
;"Tino";"Hackenbruch";"CDU";1977;997;M
;"Hans-Joachim";"Hacker";"SPD";1949;998;M
;"Maria";"Hackl";"SPD";1956;999;W
;"Verena";"Häggberg";"ödp";1973;1000;W
;"Jörg";"Hähnel";"NPD";1975;1001;M
;"Stella";"Hähnel";"NPD";1972;1002;W
;"Andrea";"Hähner";"MLPD";1961;1003;W
;"Günter";"Haemer";"REP";1940;1004;M
;"Lothar";"Hänsch";"FDP";1949;1005;M
;"Heike";"Hänsel";"DIE LINKE";1966;1006;W
;"Siegfried";"Härle";"NPD";1935;1007;M
"Dr.";"Gesine";"Haerting";"GRÜNE";1958;1008;W
;"Jenny";"Häse";"BüSo";1987;1009;W
;"Peter Joachim Bruno";"Haese";"NPD";1937;1010;M
