Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Annegret";"Bauch";"CDU";1958;117;W
;"Matthias";"Bauch";"BP";1979;118;M
;"Anneliese";"Bauer";"Volksabstimmung";1924;119;W
;"Emil";"Bauer";"MLPD";1953;120;M
;"Erich";"Bauer";"FDP";1954;121;M
;"Sebastian-Michael";"Bauer";"PIRATEN";1987;122;M
;"Andreas";"Baum";"PIRATEN";1978;123;M
;"Erika";"Baum";"DKP";1925;124;W
;"Helmut Günter";"Baumann";"CDU";1947;125;M
"Dr.";"Albert";"Baumgärtner";"NPD";1955;126;M
;"Alfons";"Baumgartner";"BP";1944;127;M
;"Roman";"Baumgartner";"CDU";1982;128;M
;"Jens";"Baur";"NPD";1979;129;M
;"Yusuf";"Bayrak";;1963;130;M
"Dr.";"Arthur";"Bechert";"CSU";1964;131;M
;"Birgit";"Beciri";"Die Tierschutzpartei";1962;132;W
;"Ernst-Reinhard";"Beck";"CDU";1945;133;M
;"Jürgen";"Beck";;1955;134;M
;"Marieluise";"Beck";"GRÜNE";1952;135;W
;"Stefanie";"Beck";"DIE LINKE";1970;136;W
;"Tobias";"Beck";"FDP";1985;137;M
;"Volker";"Beck";"GRÜNE";1960;138;M
;"Claudia";"Beck geb. Krauß";"GRÜNE";1973;139;W
;"Alexander";"Becker";"CDU";1982;140;M
;"Bernd";"Becker";"SPD";1958;141;M
;"Burkhard";"Becker";"NPD";1954;142;M
;"Dirk";"Becker";"SPD";1966;143;M
;"Kurt";"Becker";"SPD";1953;144;M
;"Christa Lydia";"Becker-Lettow";"SPD";1959;145;W
;"Bert";"Beckmann";"MLPD";1958;146;M
;"Uwe Karl";"Beckmeyer";"SPD";1949;147;M
;"Jochen Heiner";"Beekhuis";"SPD";1977;148;M
;"Maximilian";"Beer";"CSU";1966;149;M
;"Kirsten";"Beetz";"CDU";1961;150;W
;"Peter";"Befeldt";"SPD";1955;151;M
;"Jörg";"Behlen";"FDP";1968;152;M
;"Cornelia";"Behm";"GRÜNE";1951;153;W
;"Martin";"Behnke";"DIE LINKE";1954;154;M
;"Hans-Peter";"Behrens";"GRÜNE";1961;155;M
;"Heidemarie Elisabeth";"Behrens";"DIE LINKE";1954;156;W
;"Herbert";"Behrens";"DIE LINKE";1954;157;M
;"Manfred";"Behrens";"CDU";1956;158;M
;"Matthias";"Behrens";"NPD";1972;159;M
;"Andreas";"Beier";;1971;160;M
"Dr.";"Guido";"Beier";"FDP";1967;161;M
;"Klaus";"Beier";"NPD";1966;162;M
;"Mirko";"Beier";"NPD";1975;163;M
;"Veronika Maria";"Bellmann";"CDU";1960;164;W
;"Michael";"Belzner";"REP";1948;165;M
;"Birgitt";"Bender";"GRÜNE";1956;166;W
;"Mario";"Bender";"DIE LINKE";1966;167;M
;"Anneliese";"Bendigkeit";"CDU";1943;168;W
;"Edgar";"Benedetto Di";"DIE LINKE";1958;169;M
;"Klaus Uwe";"Benneter";"SPD";1947;170;M
;"Felix";"Bensmann";"FDP";1985;171;M
;"Konrad";"Bentz";"NPD";1920;172;M
;"Josef";"Benz";"FDP";1953;173;M
;"Karl Hans August";"Benz";"RRP";1938;174;M
;"Markus";"Benz";"DIE VIOLETTEN";1955;175;M
;"Patrick";"Berberich";"CDU";1979;176;M
;"Miro";"Berbig";"DIE LINKE";1964;177;M
"Dr.";"Axel";"Berg";"SPD";1959;178;M
;"Ute";"Berg";"SPD";1953;179;W
;"Lars";"Bergen";"CSU";1975;180;M
;"Cornelia";"Berger";"NPD";1956;181;W
;"Frank";"Berger";"FDP";1976;182;M
;"Milan";"Berger";"PIRATEN";1978;183;M
"Dr. Dr.";"Wolfgang Georg Justus";"Berger";;1941;184;M
;"Volker";"Bergler";"BP";1968;185;M
;"Jutta";"Bergmoser";"GRÜNE";1961;186;W
"Dr.";"Christoph";"Bergner";"CDU";1948;187;M
;"Christian";"Berisha";"NPD";1967;188;M
;"Jutta";"Berlinghof";"GRÜNE";1961;189;W
;"Christopher";"Bernd";"PBC";1986;190;M
;"Wolfgang Herbert Josef";"Berndt";"DIE LINKE";1949;191;M
;"Marc";"Bernhard";"CDU";1972;192;M
;"Martin";"Bernmeiser";"DIE VIOLETTEN";1952;193;M
;"Wolfgang";"Berns";"FDP";1948;194;M
;"Florian";"Bernschneider";"FDP";1986;195;M
;"Jürgen Heinrich";"Bernsen";;1963;196;M
;"Patrick";"Bernstein";"NPD";1973;197;M
;"Ute";"Bertram";"CDU";1961;198;W
;"Karl-Heinz";"Besemann";"DVU";1950;199;M
;"Harald";"Bestehorn";"NPD";1962;200;M
;"Markus";"Bestgen";"FDP";1964;201;M
;"Horst";"Bethge";"DIE LINKE";1935;202;M
;"Cornelia";"Bethke";"SPD";1966;203;W
;"Lorenz Gösta";"Beutin";"DIE LINKE";1978;204;M
;"Christian";"Beyer";"SPD";1974;205;M
;"Lars";"Beyer";"NPD";1969;206;M
;"Peter";"Beyer";"CDU";1970;207;M
