"Wahlkreisnummer";"Name";"Wahlberechtigte";"Bundesland"
198;"name";242.568;"bundesland"
199;"name";195.658;"bundesland"
200;"name";196.560;"bundesland"
201;"name";179.373;"bundesland"
202;"name";190.569;"bundesland"
203;"name";168.357;"bundesland"
204;"name";191.691;"bundesland"
205;"name";213.225;"bundesland"
206;"name";251.837;"bundesland"
207;"name";202.156;"bundesland"
208;"name";217.445;"bundesland"
209;"name";220.974;"bundesland"
210;"name";235.030;"bundesland"
211;"name";184.220;"bundesland"
212;"name";214.215;"bundesland"
213;"name";166.775;"bundesland"
214;"name";185.961;"bundesland"
215;"name";205.531;"bundesland"
216;"name";249.131;"bundesland"
217;"name";252.615;"bundesland"
218;"name";220.785;"bundesland"
219;"name";231.017;"bundesland"
220;"name";211.617;"bundesland"
221;"name";231.682;"bundesland"
222;"name";233.952;"bundesland"
223;"name";226.483;"bundesland"
224;"name";251.039;"bundesland"
225;"name";205.115;"bundesland"
226;"name";249.153;"bundesland"
227;"name";154.767;"bundesland"
228;"name";246.833;"bundesland"
229;"name";186.068;"bundesland"
230;"name";162.109;"bundesland"
231;"name";173.068;"bundesland"
232;"name";214.616;"bundesland"
233;"name";243.083;"bundesland"
234;"name";216.044;"bundesland"
235;"name";172.011;"bundesland"
236;"name";177.197;"bundesland"
237;"name";164.344;"bundesland"
238;"name";162.834;"bundesland"
239;"name";180.735;"bundesland"
240;"name";173.473;"bundesland"
241;"name";243.953;"bundesland"
242;"name";177.261;"bundesland"
243;"name";249.703;"bundesland"
244;"name";189.738;"bundesland"
245;"name";184.672;"bundesland"
246;"name";224.946;"bundesland"
247;"name";183.872;"bundesland"
248;"name";219.607;"bundesland"
249;"name";199.081;"bundesland"
250;"name";200.116;"bundesland"
251;"name";225.807;"bundesland"
252;"name";206.196;"bundesland"
253;"name";240.672;"bundesland"
254;"name";189.097;"bundesland"
255;"name";235.775;"bundesland"
256;"name";221.708;"bundesland"
257;"name";242.341;"bundesland"
258;"name";184.454;"bundesland"
259;"name";181.088;"bundesland"
260;"name";244.919;"bundesland"
261;"name";165.210;"bundesland"
262;"name";204.091;"bundesland"
263;"name";180.442;"bundesland"
264;"name";220.220;"bundesland"
265;"name";206.805;"bundesland"
266;"name";224.090;"bundesland"
267;"name";241.035;"bundesland"
268;"name";223.234;"bundesland"
269;"name";176.381;"bundesland"
270;"name";224.418;"bundesland"
271;"name";201.833;"bundesland"
272;"name";208.654;"bundesland"
273;"name";208.664;"bundesland"
274;"name";211.807;"bundesland"
275;"name";198.437;"bundesland"
276;"name";215.910;"bundesland"
277;"name";195.971;"bundesland"
278;"name";194.304;"bundesland"
279;"name";220.877;"bundesland"
280;"name";198.923;"bundesland"
281;"name";210.636;"bundesland"
282;"name";225.703;"bundesland"
283;"name";213.013;"bundesland"
284;"name";204.619;"bundesland"
285;"name";200.726;"bundesland"
286;"name";167.458;"bundesland"
287;"name";197.671;"bundesland"
288;"name";177.784;"bundesland"
289;"name";198.466;"bundesland"
290;"name";189.559;"bundesland"
291;"name";218.867;"bundesland"
292;"name";162.508;"bundesland"
293;"name";167.789;"bundesland"
294;"name";181.362;"bundesland"
295;"name";185.890;"bundesland"
296;"name";207.292;"bundesland"
297;"name";214.924;"bundesland"
298;"name";184.896;"bundesland"
299;"name";201.442;"bundesland"
